airport_origin,airport_destination,latitude_origin,longitude_origin,latitude_destination,longitude_destination,time_of_flight,distance
JFK,LHR,56.734523,-164.289326,-81.608165,133.421319,8.43,3543.43
LHR,DFW,-7.865891,92.254462,-2.260073,12.608386,4.42,1789.03
JFK,SYD,52.666852,-18.931473,84.850779,-18.149037,8.35,3699.63
DXB,ATL,55.676904,-154.618873,35.250553,118.910987,4.95,2373.65
DFW,LAX,-52.360268,79.363633,22.797995,-7.053209,3.07,1236.28
HND,JFK,53.975385,-85.949576,-78.733173,-170.540305,12.0,5834.18
DFW,ORD,-37.673266,17.849453,50.462135,79.824327,5.38,2483.22
LAX,JFK,38.684963,-126.167578,-58.71901,28.82714,2.48,1050.5
LAX,ORD,-5.581024,76.629392,42.446576,159.07354,10.27,4833.76
LAX,HND,48.210037,158.238216,-30.087245,-5.495509,1.53,627.7
