flight_id,actual_departure_time,actual_arrival_time,delay_in_minutes,report_date
5f95af6a-a4f1-439d-9d22-9cc22f6be903,2025-05-31 06:04:07.168089,2025-05-31 15:48:04.996752,58392,2025-05-11
a5ad41e2-95e7-4565-965a-a718a46a5f56,2025-05-24 03:13:12.168089,2025-05-24 06:08:03.642927,61512,2025-05-20
1b2da320-5811-4ce1-a1c8-71138af6356d,2025-05-10 10:04:36.168089,2025-05-10 11:55:17.807630,0,2025-05-16
9592b5a3-b96a-491a-b6b1-510fc71418ec,2025-05-15 18:42:18.168089,2025-05-16 04:52:01.935217,5809,2025-06-01
ee6d5584-48e3-4462-87ff-0abc4fb17ebd,2025-05-14 16:20:10.168089,2025-05-14 19:53:29.583333,0,2025-06-07
b9eeb661-3331-474a-ae36-c73ba0cfc07e,2025-05-18 20:16:22.168089,2025-05-19 03:56:53.554045,61040,2025-05-11
4a744847-2d98-4835-8aa4-e8b1947e3cae,2025-06-05 05:48:21.168089,2025-06-05 10:10:18.416469,55405,2025-05-31
f0960d47-8901-43bd-bca1-3257a7e03819,2025-06-03 05:37:34.168089,2025-06-03 09:12:14.290392,53420,2025-06-07
695b0f81-e9f7-48f4-a36d-3b7aeb5f5993,2025-05-27 11:53:40.168089,2025-05-27 17:35:32.117838,3729,2025-05-12
d7b65a0a-92b4-4dca-9d71-fc9af1d6286b,2025-05-31 17:20:27.168089,2025-05-31 22:53:53.638924,0,2025-05-15
bb69dfc5-f196-4f28-b2be-1f98bcbdeab1,2025-06-04 21:02:35.168089,2025-06-04 22:33:06.788979,8540,2025-05-29
9a7d4b0b-5dbe-47a8-ae74-2508cd248eb7,2025-05-14 17:51:16.168089,2025-05-15 02:46:55.821656,23036,2025-05-14
abc5ea8d-023c-4fd0-8436-340c97bca40f,2025-05-28 19:41:50.168089,2025-05-28 23:13:44.096488,96158,2025-05-25
79092065-decc-4388-8a56-d7b9683b5ed0,2025-05-19 08:54:51.168089,2025-05-19 19:13:00.599462,57891,2025-06-02
845b49fd-93b1-472c-9b39-112e1bb3df5d,2025-06-07 18:07:21.168089,2025-06-08 05:31:17.064864,40480,2025-06-06
d1c8f034-e6ae-4f7e-ab10-0fb3dcc491df,2025-05-26 09:08:37.168089,2025-05-26 17:23:56.491302,16299,2025-05-31
32241677-931f-4e23-a6a2-106fd6d3423b,2025-06-03 21:12:41.168089,2025-06-04 07:10:09.564536,32487,2025-05-12
