boarding_data_id,number_of_passengers,number_of_luggage
6ee769ee-984e-4741-9ec9-91006802c01a,212,156
bfa4a88d-3693-4c3f-8bc8-8d337ac1406b,169,56
b90bb9a6-85e7-4289-b80b-128f6cecfd48,101,93
09e17ad1-c486-45bb-ae29-3b1c3394b860,77,145
9707f669-481c-4a3b-84a5-a73c6eff1ded,276,160
c831f5b9-1f2f-480b-a6d7-60929d4042d4,129,111
1d303ba0-023a-46de-9ab9-a2e3da19ca9d,114,38
a31f6ebd-8d4e-4744-b2f6-baccd09bb37e,207,137
e48f5c50-1516-4c6e-8607-833a6989d079,153,81
8d8d7330-d020-48a6-b98c-76ff58e12c75,142,42
5c0fe465-0dd5-4117-88b0-4340bca4e441,248,196
1b93dc8f-f698-4d9f-a6db-a606484ebae1,89,159
36dfb85d-15ca-4ed0-b22c-59019da84e47,221,51
3c284029-cdb2-4360-96ce-0e226392c637,186,189
8d82d763-a4a7-4240-8a8c-a7c09db6bb76,181,131
7391ef2b-6f2b-455f-97c9-b36ce1177707,97,188
d0f0903a-36c8-42d2-a38b-ed2f7b4c87cd,206,108
9dab9469-c39b-433b-8e7a-6ca55c975aa9,170,38
7e894584-dab8-4705-9d2f-7a0eb185bdee,117,32
0e890f69-705d-4d70-8c65-2dd20b9660f6,224,93
a146cf32-26f9-489f-9b2f-7942adaa6be9,177,33
d0f52940-7569-458e-8290-53964cb8ea11,169,101
de4b3d36-8e75-4505-8b5c-a0435596c0a0,248,150
1d7e256c-050a-43a7-8364-8d5c1f8dcf33,213,67
bdab0812-73a3-4464-a2c3-a50c46425e90,138,137
8f502d35-b4cf-4a4c-a1b3-6ee7f56c92fc,221,70
f41eca98-ef46-4d42-bbfb-03ea6deeab3a,133,50
23c3b06a-927c-4e5d-875a-292544bb1eab,72,45
d2a9f9aa-ff61-46d8-99cc-fb3007609a48,291,184
698855bc-4633-4579-9f63-7bc3e3163a1c,263,111
cbb7a843-1feb-4fb0-affd-9d040d688e0a,147,112
bc527c74-860c-44b3-b210-d6b771ff01af,98,36
22d3fb2e-880f-4669-9df6-e21eedb42a4f,194,149
2033895d-1877-4b33-9fba-873c9168f15a,157,168
9fee8b9e-1bf3-4afa-a9f2-040549b6f6f9,265,117
a219f165-3f95-4da1-9508-dd3e6b02596e,101,138
9fb24108-37d8-444c-9a2c-bf6ad674a39b,162,50
524e87c1-337b-49d4-b605-4174b81d475d,108,37
697311c0-538b-48a2-97d5-aefd2e3c242d,213,117
7b7daa39-b711-42cf-9557-605748c86941,195,197
72665267-767d-4ddc-8621-ef99de1c4da9,158,177
fabbe99e-0e79-4b95-b684-2f4e08886044,282,62
caefe264-6e7a-4a18-be8d-de515fee79a3,213,131
599134bb-3d56-4f2d-a5e6-f32e3ac5fa08,178,83
27d3c38f-e2dd-409f-99a8-6656b0286ece,154,23
48061278-02de-4a52-9d86-e75833f11f41,212,45
abc201e1-1c79-4b27-acaa-838f32c34f36,284,112
d37c5c32-077f-4abb-a1be-f8d97e8d85e7,181,180
c316677e-df6a-4641-a33a-5e2696999405,281,169
0634ee49-018a-465d-9553-03deff60bad5,61,200
a32ddad6-99c8-4bcc-8e6c-96bdfcedcda1,142,57
e1951e43-229f-4ef3-819e-85f3097c055f,140,178
c362746e-1549-4417-8b3d-f1aade258976,124,169
1103b5a1-7ddf-4fc5-be22-52f1c2102143,172,142
3048c51c-ba72-443b-a7e6-ef1fb681b80e,125,175
ee53ff0d-47ad-47ba-bbfb-9c11cba15281,88,46
84130eb1-4444-4fe1-8744-4a2db09321f7,140,187
8a5132ce-0242-4ed2-94f2-6ec3275bda74,224,174
6d5d026a-9def-4bd0-9094-ae602d8d4942,203,120
4aca80ee-ca25-4976-80bc-194ed0c8d725,180,24
47aed23b-a958-460d-9a8c-beea0d8a793c,262,31
48ae47d8-fe65-4429-8026-1c9bc0b0b40f,104,193
8f3d30a0-7452-4cbb-9325-3cf6f80c0c32,246,40
cb83db99-db96-4ffb-ba4c-a069f3f08a74,241,146
493c8270-c018-43cf-8327-b9286691288a,57,97
1bd942ca-0361-4a78-bfd2-1af56b19b0d3,83,147
100e0569-9b56-49b4-ad2b-aea47eb80094,142,37
47decc58-65e2-40d9-9b83-7987ebacb1e0,68,125
4471ef23-be4c-4fa4-b865-e4a052c56c36,78,118
f8bc2a8e-4840-49d2-a08e-6b822778fd6f,139,96
e7bb5fde-124a-4ee0-a7c8-9c9132d8e5e1,188,163
a3ed8de3-ab56-40a6-8cdf-6e839d32e282,130,26
439c6bbd-d7af-42b9-a556-c91f80c931e8,159,124
1d6b9287-5a41-4dbf-a484-c7c593478359,130,151
38560498-3b03-412c-90e6-bb1e23311883,116,24
da66daf8-5056-4518-8b2c-b7bd66e487c7,95,138
00f2655d-9c3b-4b70-9c23-12654d037946,86,101
f0513224-0883-439e-bb44-a8cd73773ed7,116,194
475f11a4-16da-489f-9b96-a18562502e36,195,151
48a176dc-9687-4a9b-b20b-7f9a347af03f,253,79
