training_set_id,wether_id,route_id,boarding_data_id,delay_in_minutes
c37eb76e-1c25-4df7-8d9f-a0730e3c01dd,0cf4b00b-663a-4b73-aa7e-f168a47f3490,e40f6f07-d5c4-4e1e-8fe5-4a860afe588b,6ee769ee-984e-4741-9ec9-91006802c01a,60.0
5eb76f8a-6d7b-4632-a0b5-707df3035338,7ca556f7-4573-4ca5-81c3-5ca6ac1da592,edf44c0c-db13-4c4f-860b-8f6a9877dd04,bfa4a88d-3693-4c3f-8bc8-8d337ac1406b,43.9
16997d4a-5998-4f62-b4b4-3da395426b18,760db7bd-045c-474a-92f5-02d6d4272691,b92d8b8c-758e-40a7-88a0-b0121f99bd0e,b90bb9a6-85e7-4289-b80b-128f6cecfd48,121.54
9a9944e7-bcb9-48c5-b2a8-ec57a04ceda5,35b6268f-3b27-4cbd-ad55-34cb4e3a9eae,0295b6c0-ec0c-4694-98ba-83e914ad5cb3,09e17ad1-c486-45bb-ae29-3b1c3394b860,54.15
87c2f9d9-ff2d-4067-84a7-a0b50fc38263,09b1cb49-2c4d-4a99-bfef-3203c16e33e5,f5f82a8b-56c0-446a-af09-09b6baa734eb,9707f669-481c-4a3b-84a5-a73c6eff1ded,16.39
86dc4b1a-c917-4d1c-a4c4-1e233aacda43,73f2eefb-ac67-4571-a278-6e5cd82972a0,acdf6f71-dd05-46f8-b9c2-6322621a25f7,c831f5b9-1f2f-480b-a6d7-60929d4042d4,32.74
2c748f0c-bab1-41c3-8f66-f899080917c7,60f92438-e713-48f5-bfaa-fc30c670b908,e3f06a7e-a1fd-4de0-8ef0-e2b5f3e0bb8f,1d303ba0-023a-46de-9ab9-a2e3da19ca9d,49.12
6d7b547b-45ac-4be5-b2b4-2119319d8b70,59b9a204-7cb7-477a-96fb-3625b5fc7422,f26114c7-ca80-4406-b6b1-93e58624a7d6,a31f6ebd-8d4e-4744-b2f6-baccd09bb37e,85.52
2cd94ffa-2e47-4298-9e83-e824d64ef5d4,9eebba2e-3bb1-42e8-8a3e-1a97330a1793,4f5f2874-c5af-472f-a472-6ffa73bbae5e,e48f5c50-1516-4c6e-8607-833a6989d079,169.51
bf3fa2f0-f2f1-44f9-81e6-58e2826b6998,30a80eb7-d56e-49d9-9019-c56ce3391db5,10a52f5f-f90a-4426-a590-8efe249a1e66,8d8d7330-d020-48a6-b98c-76ff58e12c75,173.21
156964e1-9ab4-4f85-960a-dfb2a72f2312,a0cc94ea-a3df-4d07-8e7e-f7c13b52a603,59a7ba90-d0e0-46d5-bf08-82ea4c521deb,5c0fe465-0dd5-4117-88b0-4340bca4e441,57.19
06b4600a-e265-4fe6-8d82-6c6e6e21561b,3ce8feb6-2f7e-457a-ae44-151f3971452e,e5407f63-30cb-4895-a232-b6919a2baf8e,1b93dc8f-f698-4d9f-a6db-a606484ebae1,85.38
e088a05a-7b57-42d4-bf35-0f33ffb29e85,4e511a89-5022-47a9-bd19-822e5bd779c4,abc59b79-7444-48fa-ac53-326b98898dbe,36dfb85d-15ca-4ed0-b22c-59019da84e47,116.03
014120ab-c7ea-4deb-b37a-cf17ed725f4e,f83d99fc-98a8-4cfe-9476-efa0c81824b4,2e17435f-5248-42fd-bf65-0770a201e72e,3c284029-cdb2-4360-96ce-0e226392c637,151.37
2b051e9c-c10a-4938-8628-30ecaeb3948a,b34c7c46-720f-4747-949d-43de2a123e0b,274299de-fe4b-426c-91ef-c88f71e23234,8d82d763-a4a7-4240-8a8c-a7c09db6bb76,77.44
7a778bdd-a728-4be7-b278-a500dfd52298,d9026701-987e-4ca7-a608-e7b4669413e0,2515e321-d574-483a-af4c-dd77e8db3b2b,7391ef2b-6f2b-455f-97c9-b36ce1177707,44.55
82ba3452-5713-4b50-ae50-f3f100ab0c34,ba08fe1b-c6d5-4177-ac48-fc38419e30fa,5e03e848-8090-470f-aba6-d1ecc78a73bb,d0f0903a-36c8-42d2-a38b-ed2f7b4c87cd,31.78
6b8bf370-19fc-475d-b574-d7b33127957d,c6872a30-2058-413b-ae1a-7aaad5e067f6,d6442257-a8ed-4f2f-9ef3-eba2383597a9,9dab9469-c39b-433b-8e7a-6ca55c975aa9,86.34
4d90537d-3b5e-42b0-b85b-3b3c8a1dad29,77cbb3c5-6015-4788-8816-87c992878dc7,773a1e91-e40b-4a25-9b36-85b8816339f6,7e894584-dab8-4705-9d2f-7a0eb185bdee,84.07
99ca77eb-ebd9-46de-89f8-9696bff1a140,2de3b333-0050-4312-a56b-8b1a68d9b89c,7bffd33d-e11a-4c66-80d4-0777144e4f3d,0e890f69-705d-4d70-8c65-2dd20b9660f6,105.91
5ba6b4fb-0d2a-493a-bfcd-be9ac50ce47b,d14e8f84-2742-4c10-a324-731e1b95e504,29bffdc6-01e6-497c-bf11-aab8734127e9,a146cf32-26f9-489f-9b2f-7942adaa6be9,143.66
ccafb78e-e628-4431-81ce-a8215f7578ff,85b8744d-8b60-4029-98cb-6c4a97272406,9bc8c966-687c-4ac5-a250-a82a8efd01ea,d0f52940-7569-458e-8290-53964cb8ea11,164.36
c0356cf2-8f12-461f-a3bd-a8f4dd43cce3,601d6839-c061-4f2a-8191-36eb3eb4ac4d,64432992-1db0-4363-9de4-f61f16b30afc,de4b3d36-8e75-4505-8b5c-a0435596c0a0,100.02
4885fbeb-77b4-4e33-97be-7dda89d233af,bc2d1bf1-dc1d-42af-8d22-532bc9b51557,8c69af49-de99-442f-b03b-0e308a1f1090,1d7e256c-050a-43a7-8364-8d5c1f8dcf33,103.63
af33abd0-64b4-4372-902c-268f4d5760e7,be5e0e16-e513-44ea-94bb-8fbe9b4c558c,4c02ed6e-af31-4a68-a583-3e3493a5dd25,bdab0812-73a3-4464-a2c3-a50c46425e90,49.95
fbd24b97-9749-4f98-b06e-0a9d8150745b,6819dcea-5478-4ed9-ac18-2d9cd16e6dec,78179dc3-92b4-4bf7-8e56-4d499fc5d417,8f502d35-b4cf-4a4c-a1b3-6ee7f56c92fc,113.9
7a219f96-a961-475b-a577-b0fac2c30d2e,4a7d0cfe-5167-4805-bf09-a37d13d333fb,e6a883fc-7697-4ff4-b484-f0f144518fd0,f41eca98-ef46-4d42-bbfb-03ea6deeab3a,46.54
4cb7ef65-93b2-488e-8e62-fe01e37bef94,120a27a8-4f2b-4087-9915-b6a5e4db3a21,ad90e516-a73a-4f01-b2d6-dd62a4bfa12b,23c3b06a-927c-4e5d-875a-292544bb1eab,36.97
9133fce3-2693-4655-a5af-458cf769e5fe,55f14f19-e2d4-489d-a8f8-f0761d5a66a5,d7036455-bfc6-4995-b9e1-08983120a630,d2a9f9aa-ff61-46d8-99cc-fb3007609a48,67.06
b194238d-9820-4e17-b59b-f56162c0ec17,14bb7945-b4ca-4493-b49b-b7363aff47bb,0d7bd606-8ca3-4f2d-b6be-4cbbcb434ae2,698855bc-4633-4579-9f63-7bc3e3163a1c,22.3
c116e7b6-4ef2-46c5-ae5b-947de5dcf4e5,6c4983a9-ea36-4675-bd2c-f4e75ed57efc,2bfb1c0c-98d1-4315-9793-c31be91c9050,cbb7a843-1feb-4fb0-affd-9d040d688e0a,125.71
be61ab52-f530-487f-b71d-a295c7ef210f,64ed34d0-76f3-412e-bb39-60c9df75dd6b,1d67ae34-8869-4e80-8a66-13a044074802,bc527c74-860c-44b3-b210-d6b771ff01af,80.75
0b29829e-fdc1-47af-ba82-09cf87fb92e6,71e2786d-ca3d-463e-8e24-7cf4214e6478,5f91033e-951b-4277-ab0c-9ee30cdc24d6,22d3fb2e-880f-4669-9df6-e21eedb42a4f,89.2
442a9d8f-debb-4fbf-bc21-fe290a2618ef,44294de0-4205-4969-a744-99ff38bc35f9,fb47653a-2d5d-4c2c-b9cf-31bbbcaf441d,2033895d-1877-4b33-9fba-873c9168f15a,147.94
4eb0ba0a-5296-4f13-b1ae-cdf1dc63794c,875e0a45-a55c-4649-952d-454506f79624,38c76774-1fcc-4973-b66c-f107c5a8990c,9fee8b9e-1bf3-4afa-a9f2-040549b6f6f9,94.17
b8fb2905-8618-42fb-848f-7ac31a1d1241,ac05ce24-3894-4677-8c13-8b2dd5c1acd6,9320daf0-1e7d-4d06-9f65-1da4aa90c171,a219f165-3f95-4da1-9508-dd3e6b02596e,134.15
c2098247-eb65-4cce-b631-1f884e5e849e,c493904e-7a0a-4743-ab6d-b9622b3f1bf4,e6f96646-6323-4b94-8def-b09e9fae1585,9fb24108-37d8-444c-9a2c-bf6ad674a39b,5.26
2bfa9856-9962-4b58-b2e3-23e117d48f05,14184afe-8a79-4cf7-9afc-8b2f1881cff3,67cb3b9d-6b45-4ee7-ae01-6d59c318ef9b,524e87c1-337b-49d4-b605-4174b81d475d,140.51
7eae6826-2af8-4e9d-8ca2-0a26190f19f8,1123664c-bb8b-4d7f-936e-69b26bbe09c1,5e06629e-4aa1-4d3d-b439-5b7734a804c7,697311c0-538b-48a2-97d5-aefd2e3c242d,130.76
f27e6ddd-af2e-4529-b8fa-75dec11953d0,daccffe6-f652-47e7-88df-62c149eb40b4,5ff20c27-c53b-460c-9c04-143a125ffca3,7b7daa39-b711-42cf-9557-605748c86941,149.84
4885ab0a-aac5-4fdc-9418-18914125bcf2,fc36f6d2-ba20-486b-972d-cc975ffeb9f0,668a1ced-1ff6-41eb-b529-e178b46a4a65,72665267-767d-4ddc-8621-ef99de1c4da9,108.82
