airport_origin,airport_destination,latitude_origin,longitude_origin,latitude_destination,longitude_destination,time_of_flight,distance
HND,DXB,-28.38089,-19.744032,84.99128,-94.647341,10.06,5034.16
CDG,JFK,-23.176975,-72.360354,-84.410161,-170.893222,6.95,3643.33
HND,SYD,44.723857,-62.47538,37.04202,-13.228493,9.7,4164.99
LHR,SYD,5.185008,124.601609,82.294937,-6.509735,7.77,3573.57
DFW,SYD,-18.953663,-86.668067,0.867426,-160.108932,3.84,1862.06
ATL,ORD,-60.702845,-123.948717,83.816876,43.243457,5.34,2208.67
LAX,LHR,-28.26701,-133.823787,-26.133803,-110.175101,4.36,2315.05
ORD,ATL,30.826521,135.166527,87.698002,-176.675144,8.37,4488.63
ATL,LHR,39.167408,-85.229509,53.705671,131.035598,7.09,3144.41
DXB,LHR,-12.864494,34.229522,-65.219224,93.076448,10.55,5396.1
