flight_id,average_height,average_temperature,average_humidity,average_wind_speed,average_wind_direction,most_common_condition,number_of_most_common_condition
a8089d87-82e8-45dc-bd7f-130c8cd3257b,33827.81,-15.86,55.49,96.06,141.98,Cloudy,1
6ca7602a-ec18-4066-9062-d2c93fdc1f36,35151.61,14.4,66.48,74.98,212.2,Snow,5
cb574aaa-41e3-40ae-a63b-2fd102fe6946,35962.72,9.8,56.38,87.62,152.12,Clear,2
6b816703-8fae-4e61-bde9-0fc23de8b703,36338.63,-11.57,39.66,79.88,231.63,Rain,1
df6f7ebd-e3e2-494a-8ede-74760cbdc7e7,33931.71,-12.65,42.42,80.31,209.02,Overcast,1
08143808-7147-474d-83bd-c06cf99e4597,34932.53,-29.85,56.32,71.72,168.91,Rain,2
4377eb57-bd52-4f83-9d37-bf49c7ca6060,34827.52,-18.97,66.36,63.19,129.82,Overcast,2
b8d3ade9-3d17-4008-a50b-3971ffa38149,35639.85,2.35,64.18,63.72,230.76,Overcast,2
d29b7335-7c6a-49ff-8203-61365da909f8,35419.39,-5.92,34.18,112.41,207.8,Overcast,1
493be249-82e0-4fb0-bafa-e1d525d66c93,36613.48,1.94,31.37,93.06,147.67,Cloudy,4
379844dd-a615-4ab1-95e2-165303c12340,36069.83,8.74,61.49,64.75,155.95,Sunny,1
b618f886-72f5-4883-9d13-bb996d4f6173,37751.87,-1.91,55.07,58.93,205.76,Overcast,1
d19ed7c8-f236-484c-b7bc-fdada16946f9,33670.16,2.37,55.14,86.51,248.57,Sunny,5
9b8b3f27-1085-47c7-9ae9-ddbbd2eabef1,34996.34,-25.35,51.82,47.05,183.72,Snow,2
14c521aa-75b7-4fb3-96b5-cc63b4999885,36388.29,-7.72,40.5,92.79,145.33,Overcast,4
fd5a6338-3243-4025-9bbc-e7462e4ac9b5,36797.41,-27.85,55.51,84.1,162.95,Clear,3
a771db9f-62f5-4514-a7c4-8552464e1721,34326.54,-14.87,49.35,92.84,164.91,Cloudy,3
ced73de7-a48e-496c-ae7c-96bed211a801,35130.41,-4.68,85.57,57.88,101.1,Cloudy,5
14114fcb-c0ba-4243-97f0-66a726de298f,34391.47,-12.24,66.3,72.17,203.92,Clear,5
3ab24584-c8ad-45e9-9939-5fdbc393aa04,34311.33,4.4,58.56,87.4,163.37,Clear,3
4f860039-9fa0-459f-9c24-89125d4cc07f,35532.41,4.59,48.56,76.54,220.19,Sunny,1
e1b44178-512b-4bd3-ac4c-3ac2a83af6f1,34926.88,4.78,67.85,84.04,166.98,Sunny,2
c9b9a9f9-fd35-424a-82b2-ccb00b86f0d3,34299.38,12.65,52.97,84.61,161.98,Cloudy,4
16b3fba3-b0c8-4d40-a88e-b3a957aa6bc5,33401.92,-23.71,58.48,98.13,168.1,Snow,3
5427b027-aee5-4649-93bc-666bcd494a6b,35374.11,-6.34,46.74,108.39,166.04,Cloudy,5
e6d392a7-ae86-4aa6-bc26-b2a3d21f23b5,35731.68,19.67,68.6,45.35,81.4,Rain,5
6b38b7e0-bfa4-40b2-aacf-1c275041f376,34580.51,2.3,63.67,91.31,111.23,Sunny,3
6aeacce9-a84f-40e3-a077-74295eee3fcb,35864.98,3.07,42.62,59.81,140.87,Rain,4
15d63eae-bb38-4d8a-be13-22f0c6f1a1c4,33502.93,-13.54,32.11,103.25,108.18,Rain,5
a5915040-a3b9-4bb8-8e61-df7e1a689822,36913.72,-6.53,69.47,86.7,193.98,Overcast,3
7d027a32-47f2-4fdd-bb6e-2c7092564a53,33580.63,8.54,54.33,101.23,224.96,Cloudy,5
4a03034b-9373-4968-a4da-bd0a5af182a3,36719.03,-17.68,48.73,89.15,212.3,Clear,3
bab578e6-0fec-4b39-8ec9-2fd3ed37f8fc,35532.28,-16.24,34.59,82.72,177.12,Cloudy,2
6df1dce3-d325-4fd2-b643-cc4f4748a801,36578.69,7.63,43.33,68.47,161.14,Overcast,1
c4f58cb3-9732-4746-a12e-20e520f7c42b,37445.21,21.99,72.73,70.34,66.23,Clear,2
f7f849fd-468d-4e9e-bf0e-2d646f2c297d,38061.96,3.42,67.82,68.97,108.95,Sunny,5
56d69c4c-5752-4512-9385-a51e2aa748bb,33339.78,-13.87,48.43,82.53,111.56,Cloudy,1
c7029490-de3c-4496-93c4-401c18c29f3f,35391.82,-4.2,61.28,71.47,198.87,Overcast,3
115f091a-aba2-4c4b-b5ba-4701ddd79b64,37607.22,-2.47,43.53,82.03,196.35,Rain,3
82df85e1-acae-4eeb-84de-f20e96af4cd2,35094.26,-27.18,62.66,64.98,195.76,Overcast,5
e66cd63a-44ea-492f-884c-d9acdde68aee,35243.1,-7.49,57.9,84.79,237.78,Rain,2
fe3b3edd-3dc1-4940-af54-73cce698e475,34231.67,-17.9,42.28,65.4,87.56,Overcast,2
e6c570c2-b4f8-464f-9d8a-d6b9d0e14509,34313.73,-13.38,68.79,75.6,203.18,Cloudy,3
795f4702-ac77-41ca-95c8-d483c097582a,34398.66,19.75,57.21,78.94,155.01,Rain,5
e70371ed-92ec-40f8-b910-fcb1f52ff9c0,36089.64,-1.28,61.22,75.34,132.57,Snow,4
64d8445b-478c-4f87-ac09-fcbbbcee3734,35974.52,-13.15,36.2,70.53,147.37,Sunny,4
bec5bf67-763e-4387-b891-bbc525087702,35489.65,8.88,63.83,62.28,174.57,Sunny,3
220681ad-9667-44ac-a1a8-21549fb3ae2c,34900.01,-22.78,44.65,85.47,177.5,Rain,4
e8bc9b4d-fa91-4b76-b265-094d6c5fbb34,34820.92,0.31,50.38,42.85,118.25,Sunny,4
767ac8b0-dd5a-43cc-a386-170acf210c72,35361.42,-25.82,35.79,88.19,191.18,Cloudy,1
