sensor_id,flight_id,sensor_type,sensor_value,event_time
EN7560,F0001,Engine Temperature,678.44,2023-09-05 01:20:27
FU2590,F0001,Fuel Level,53.8,2023-09-05 02:23:21
FU5791,F0001,Fuel Level,27.84,2023-09-05 03:28:22
FU3923,F0001,Fuel Level,66.02,2023-09-05 01:02:23
VI5203,F0001,Vibration,3.74,2023-09-05 01:03:29
VI1368,F0001,Vibration,1.32,2023-09-05 02:39:30
VI9556,F0001,Vibration,2.05,2023-09-05 02:19:06
AI8254,F0001,Air Pressure,98.76,2023-09-05 04:47:15
AI1365,F0001,Air Pressure,96.77,2023-09-05 03:30:37
AI9709,F0001,Airspeed,599.14,2023-09-05 03:17:48
EN3659,F0002,Engine Temperature,603.42,2023-03-16 18:59:46
EN8923,F0002,Engine Temperature,572.82,2023-03-16 20:15:02
FU7129,F0002,Fuel Level,81.33,2023-03-16 22:20:31
FU7528,F0002,Fuel Level,66.05,2023-03-16 21:57:55
VI2559,F0002,Vibration,0.87,2023-03-16 19:19:53
VI3331,F0002,Vibration,3.0,2023-03-16 21:08:01
AI9894,F0002,Air Pressure,105.31,2023-03-16 20:17:54
AI5997,F0002,Air Pressure,90.43,2023-03-16 22:10:34
AI8179,F0002,Air Pressure,101.86,2023-03-16 19:05:15
AI7036,F0002,Airspeed,432.36,2023-03-16 21:17:15
AI3981,F0002,Airspeed,516.38,2023-03-16 21:14:25
AI7866,F0002,Airspeed,407.89,2023-03-16 21:51:03
EN3409,F0003,Engine Temperature,536.59,2023-07-17 05:50:41
EN3974,F0003,Engine Temperature,604.46,2023-07-17 06:15:08
EN8901,F0003,Engine Temperature,500.71,2023-07-17 06:22:00
FU8259,F0003,Fuel Level,96.39,2023-07-17 05:43:36
FU3236,F0003,Fuel Level,28.82,2023-07-17 06:12:08
VI6744,F0003,Vibration,0.12,2023-07-17 05:51:02
AI4968,F0003,Air Pressure,94.55,2023-07-17 06:13:41
AI9709,F0003,Airspeed,304.79,2023-07-17 05:36:23
EN6941,F0004,Engine Temperature,,2023-10-18 22:57:56
EN9288,F0004,Engine Temperature,697.87,2023-10-18 21:02:21
EN2141,F0004,Engine Temperature,610.09,2023-10-18 22:43:38
FU7899,F0004,Fuel Level,76.14,2023-10-18 21:41:48
FU7643,F0004,Fuel Level,31.57,2023-10-18 23:28:44
VI9545,F0004,Vibration,2.1,2023-10-18 21:47:24
AI6404,F0004,Air Pressure,,2023-10-18 21:38:33
AI8389,F0004,Air Pressure,99.94,2023-10-18 22:24:49
AI6376,F0004,Air Pressure,92.04,2023-10-18 22:11:09
AI6831,F0004,Airspeed,539.73,2023-10-18 21:43:40
EN6849,F0005,Engine Temperature,620.6,2023-05-27 14:35:00
FU8438,F0005,Fuel Level,75.77,2023-05-27 16:42:45
FU7873,F0005,Fuel Level,98.27,2023-05-27 16:16:57
FU7712,F0005,Fuel Level,51.79,2023-05-27 15:15:53
VI6888,F0005,Vibration,2.28,2023-05-27 14:44:17
VI2655,F0005,Vibration,1.55,2023-05-27 14:43:23
VI5505,F0005,Vibration,,2023-05-27 17:30:47
AI4101,F0005,Air Pressure,105.67,2023-05-27 14:58:29
AI4745,F0005,Air Pressure,108.49,2023-05-27 16:19:06
AI1203,F0005,Air Pressure,92.85,2023-05-27 17:22:00
AI8114,F0005,Airspeed,591.75,2023-05-27 15:52:05
EN5907,F0006,Engine Temperature,645.28,2023-11-04 12:17:33
FU3002,F0006,Fuel Level,67.81,2023-11-04 10:12:33
FU5987,F0006,Fuel Level,75.45,2023-11-04 11:36:36
FU1083,F0006,Fuel Level,56.37,2023-11-04 12:16:50
VI3224,F0006,Vibration,1.3,2023-11-04 11:52:37
AI8219,F0006,Air Pressure,90.89,2023-11-04 09:43:06
AI6481,F0006,Air Pressure,92.22,2023-11-04 11:41:19
AI4344,F0006,Airspeed,325.48,2023-11-04 10:35:35
EN6205,F0007,Engine Temperature,637.89,2023-12-14 15:24:38
FU1584,F0007,Fuel Level,82.84,2023-12-14 13:43:56
FU8939,F0007,Fuel Level,94.71,2023-12-14 12:07:41
FU9512,F0007,Fuel Level,25.75,2023-12-14 14:30:48
VI9958,F0007,Vibration,2.2,2023-12-14 15:32:30
AI5920,F0007,Air Pressure,101.94,2023-12-14 11:06:11
AI9298,F0007,Air Pressure,100.07,2023-12-14 11:58:26
AI2398,F0007,Airspeed,398.24,2023-12-14 11:52:51
EN4401,F0008,Engine Temperature,600.41,2023-07-31 21:41:18
FU4284,F0008,Fuel Level,,2023-07-31 22:06:54
FU1523,F0008,Fuel Level,78.48,2023-07-31 23:19:47
FU5184,F0008,Fuel Level,,2023-07-31 21:48:03
VI9819,F0008,Vibration,1.52,2023-07-31 22:46:35
VI6011,F0008,Vibration,1.89,2023-07-31 23:26:58
VI8894,F0008,Vibration,2.77,2023-07-31 23:03:31
AI3494,F0008,Air Pressure,92.96,2023-07-31 21:44:43
AI2259,F0008,Air Pressure,92.81,2023-07-31 22:09:27
AI2095,F0008,Air Pressure,,2023-07-31 22:04:56
AI1380,F0008,Airspeed,417.77,2023-07-31 23:17:23
EN5818,F0009,Engine Temperature,668.23,2023-12-07 00:05:32
FU5927,F0009,Fuel Level,89.48,2023-12-07 01:57:50
VI5989,F0009,Vibration,2.11,2023-12-07 00:29:41
VI1284,F0009,Vibration,2.99,2023-12-06 22:46:55
AI9195,F0009,Air Pressure,,2023-12-07 01:51:21
AI3849,F0009,Airspeed,533.09,2023-12-06 22:26:47
EN6332,F0010,Engine Temperature,671.86,2023-08-03 00:35:36
EN1598,F0010,Engine Temperature,674.32,2023-08-03 02:55:25
FU1274,F0010,Fuel Level,67.54,2023-08-03 02:02:27
VI5206,F0010,Vibration,1.45,2023-08-03 02:31:57
AI2897,F0010,Air Pressure,108.97,2023-08-03 01:56:40
AI7220,F0010,Air Pressure,98.69,2023-08-02 23:11:00
AI5801,F0010,Airspeed,305.46,2023-08-03 01:04:54
AI7390,F0010,Airspeed,479.84,2023-08-03 00:53:07
AI1443,F0010,Airspeed,415.88,2023-08-03 01:39:24
EN6439,F0011,Engine Temperature,651.23,2023-09-23 09:51:17
EN8764,F0011,Engine Temperature,599.18,2023-09-23 09:31:23
EN5373,F0011,Engine Temperature,691.27,2023-09-23 10:05:26
FU6165,F0011,Fuel Level,38.26,2023-09-23 09:08:23
FU3009,F0011,Fuel Level,34.82,2023-09-23 08:56:51
VI8066,F0011,Vibration,0.71,2023-09-23 09:41:12
AI7617,F0011,Air Pressure,90.87,2023-09-23 09:30:54
AI6495,F0011,Airspeed,476.89,2023-09-23 09:49:54
EN4384,F0012,Engine Temperature,654.76,2023-04-29 18:09:33
EN2842,F0012,Engine Temperature,673.41,2023-04-29 18:06:51
EN6694,F0012,Engine Temperature,520.98,2023-04-29 18:03:35
FU2894,F0012,Fuel Level,40.75,2023-04-29 16:52:46
VI9873,F0012,Vibration,,2023-04-29 17:00:48
AI3233,F0012,Air Pressure,91.14,2023-04-29 16:25:15
AI2878,F0012,Air Pressure,102.53,2023-04-29 18:19:57
AI6377,F0012,Airspeed,402.54,2023-04-29 16:28:40
EN1214,F0013,Engine Temperature,632.63,2023-07-24 11:36:52
EN2590,F0013,Engine Temperature,527.79,2023-07-24 11:11:10
EN2276,F0013,Engine Temperature,556.62,2023-07-24 11:02:55
FU9918,F0013,Fuel Level,88.6,2023-07-24 11:33:00
FU5572,F0013,Fuel Level,92.35,2023-07-24 11:43:17
VI4722,F0013,Vibration,4.1,2023-07-24 11:03:32
VI9130,F0013,Vibration,4.65,2023-07-24 10:56:23
AI2233,F0013,Air Pressure,101.26,2023-07-24 10:55:41
AI1007,F0013,Air Pressure,98.85,2023-07-24 11:47:41
AI2733,F0013,Airspeed,403.52,2023-07-24 11:15:33
EN4570,F0014,Engine Temperature,589.37,2023-05-08 18:47:20
EN3915,F0014,Engine Temperature,505.28,2023-05-08 17:25:08
EN5918,F0014,Engine Temperature,631.29,2023-05-08 18:40:44
FU6767,F0014,Fuel Level,35.11,2023-05-08 18:01:53
FU9962,F0014,Fuel Level,69.01,2023-05-08 17:12:22
FU9548,F0014,Fuel Level,93.84,2023-05-08 17:08:18
VI5528,F0014,Vibration,3.14,2023-05-08 17:42:53
AI7033,F0014,Air Pressure,109.86,2023-05-08 17:03:21
AI1360,F0014,Airspeed,550.41,2023-05-08 19:39:31
AI5178,F0014,Airspeed,338.82,2023-05-08 17:15:22
EN1153,F0015,Engine Temperature,665.69,2023-06-09 14:28:25
FU9839,F0015,Fuel Level,36.62,2023-06-09 14:16:41
FU4270,F0015,Fuel Level,27.98,2023-06-09 14:30:32
FU6548,F0015,Fuel Level,46.7,2023-06-09 14:19:48
VI9847,F0015,Vibration,1.0,2023-06-09 13:43:13
AI8336,F0015,Air Pressure,101.8,2023-06-09 13:42:00
AI2725,F0015,Air Pressure,90.94,2023-06-09 14:08:37
AI5218,F0015,Air Pressure,94.01,2023-06-09 13:57:07
AI9079,F0015,Airspeed,568.27,2023-06-09 14:16:08
EN1643,F0016,Engine Temperature,559.71,2023-10-05 23:41:33
EN1878,F0016,Engine Temperature,658.35,2023-10-05 23:11:30
EN7285,F0016,Engine Temperature,601.41,2023-10-06 00:07:02
FU4178,F0016,Fuel Level,26.98,2023-10-05 23:20:00
FU3492,F0016,Fuel Level,31.58,2023-10-05 23:37:47
VI2497,F0016,Vibration,0.35,2023-10-05 22:44:53
AI2435,F0016,Air Pressure,108.15,2023-10-06 00:05:34
AI9971,F0016,Air Pressure,109.86,2023-10-05 22:57:56
AI8645,F0016,Air Pressure,93.33,2023-10-05 23:59:48
AI5266,F0016,Airspeed,490.58,2023-10-05 22:59:42
AI5651,F0016,Airspeed,355.29,2023-10-05 22:55:43
EN5497,F0017,Engine Temperature,604.28,2023-04-30 18:28:18
EN6712,F0017,Engine Temperature,531.8,2023-04-30 18:35:25
EN9683,F0017,Engine Temperature,521.22,2023-04-30 18:45:08
FU2453,F0017,Fuel Level,97.05,2023-04-30 19:05:45
FU1676,F0017,Fuel Level,70.93,2023-04-30 18:13:33
FU3332,F0017,Fuel Level,84.47,2023-04-30 18:19:37
VI8291,F0017,Vibration,0.33,2023-04-30 18:28:43
VI3861,F0017,Vibration,3.05,2023-04-30 18:12:15
AI4033,F0017,Air Pressure,97.26,2023-04-30 19:06:14
AI8803,F0017,Air Pressure,109.58,2023-04-30 19:26:47
AI6867,F0017,Airspeed,386.44,2023-04-30 19:11:32
AI5585,F0017,Airspeed,,2023-04-30 19:35:58
AI3852,F0017,Airspeed,575.31,2023-04-30 18:44:33
EN6405,F0018,Engine Temperature,561.79,2023-12-17 13:50:28
EN3185,F0018,Engine Temperature,506.25,2023-12-17 13:03:03
FU7047,F0018,Fuel Level,20.9,2023-12-17 13:51:15
FU6393,F0018,Fuel Level,32.12,2023-12-17 15:26:36
FU5035,F0018,Fuel Level,93.41,2023-12-17 14:26:16
VI5404,F0018,Vibration,1.5,2023-12-17 15:00:08
VI4890,F0018,Vibration,2.01,2023-12-17 15:54:38
VI6562,F0018,Vibration,3.42,2023-12-17 14:42:44
AI7904,F0018,Air Pressure,96.06,2023-12-17 16:23:26
AI9770,F0018,Airspeed,477.33,2023-12-17 13:13:42
EN7043,F0019,Engine Temperature,538.0,2023-05-03 18:40:17
EN1995,F0019,Engine Temperature,576.05,2023-05-03 18:35:42
EN6282,F0019,Engine Temperature,571.85,2023-05-03 17:58:16
FU9288,F0019,Fuel Level,51.01,2023-05-03 18:02:10
FU6234,F0019,Fuel Level,93.63,2023-05-03 17:06:43
VI3190,F0019,Vibration,4.54,2023-05-03 17:52:50
VI6265,F0019,Vibration,4.9,2023-05-03 17:24:49
AI8434,F0019,Air Pressure,97.97,2023-05-03 18:09:21
AI7813,F0019,Air Pressure,94.47,2023-05-03 17:14:39
AI1614,F0019,Airspeed,353.58,2023-05-03 17:19:34
EN7232,F0021,Engine Temperature,629.05,2023-12-05 19:44:24
FU3310,F0021,Fuel Level,68.16,2023-12-05 21:21:07
FU6105,F0021,Fuel Level,92.95,2023-12-05 17:52:13
FU2660,F0021,Fuel Level,88.42,2023-12-05 22:13:49
VI9260,F0021,Vibration,4.12,2023-12-05 18:10:13
VI9351,F0021,Vibration,1.59,2023-12-05 19:42:21
VI3733,F0021,Vibration,1.97,2023-12-05 20:30:37
AI9533,F0021,Air Pressure,101.79,2023-12-05 21:55:50
AI7763,F0021,Air Pressure,100.73,2023-12-05 22:32:02
AI6341,F0021,Airspeed,521.03,2023-12-05 22:21:36
EN8602,F0022,Engine Temperature,617.28,2023-09-27 15:21:55
EN4339,F0022,Engine Temperature,672.16,2023-09-27 17:01:29
EN6974,F0022,Engine Temperature,607.66,2023-09-27 16:30:29
FU3144,F0022,Fuel Level,63.43,2023-09-27 17:20:22
FU8709,F0022,Fuel Level,31.11,2023-09-27 16:30:41
FU3800,F0022,Fuel Level,49.29,2023-09-27 16:02:37
VI3157,F0022,Vibration,0.73,2023-09-27 15:17:45
VI9889,F0022,Vibration,2.4,2023-09-27 17:34:58
AI7055,F0022,Air Pressure,103.89,2023-09-27 15:00:44
AI7840,F0022,Airspeed,412.73,2023-09-27 13:24:05
AI1344,F0022,Airspeed,533.74,2023-09-27 13:24:48
EN7535,F0023,Engine Temperature,587.8,2023-01-28 19:13:17
FU5635,F0023,Fuel Level,55.73,2023-01-28 18:38:39
FU3751,F0023,Fuel Level,61.21,2023-01-28 18:45:04
FU7720,F0023,Fuel Level,74.61,2023-01-28 18:49:11
VI6845,F0023,Vibration,1.84,2023-01-28 19:13:33
AI6573,F0023,Air Pressure,107.99,2023-01-28 19:15:01
AI1792,F0023,Airspeed,304.12,2023-01-28 18:41:48
AI8261,F0023,Airspeed,553.86,2023-01-28 18:35:23
AI5830,F0023,Airspeed,580.6,2023-01-28 18:41:40
EN9331,F0024,Engine Temperature,554.98,2023-11-29 23:38:54
EN5564,F0024,Engine Temperature,542.61,2023-11-29 23:45:22
FU4230,F0024,Fuel Level,35.86,2023-11-29 23:59:00
FU5778,F0024,Fuel Level,25.73,2023-11-29 23:34:04
FU9401,F0024,Fuel Level,78.9,2023-11-30 00:14:08
VI6591,F0024,Vibration,4.01,2023-11-30 00:00:29
VI9488,F0024,Vibration,1.99,2023-11-30 00:05:57
AI8217,F0024,Air Pressure,,2023-11-30 00:25:31
AI3997,F0024,Airspeed,,2023-11-30 00:09:16
EN3593,F0025,Engine Temperature,540.46,2023-05-06 14:14:42
EN7957,F0025,Engine Temperature,552.25,2023-05-06 14:26:47
EN2031,F0025,Engine Temperature,530.79,2023-05-06 14:23:53
FU5748,F0025,Fuel Level,88.28,2023-05-06 13:32:38
VI7090,F0025,Vibration,3.88,2023-05-06 13:29:47
VI1768,F0025,Vibration,3.82,2023-05-06 14:11:10
AI2006,F0025,Air Pressure,93.97,2023-05-06 13:26:58
AI6934,F0025,Air Pressure,101.7,2023-05-06 14:21:00
AI7711,F0025,Air Pressure,91.53,2023-05-06 14:05:42
AI3830,F0025,Airspeed,474.66,2023-05-06 13:38:12
AI9226,F0025,Airspeed,479.28,2023-05-06 13:38:13
EN8591,F0026,Engine Temperature,656.04,2023-01-04 05:59:10
EN4908,F0026,Engine Temperature,517.3,2023-01-04 03:12:36
FU5836,F0026,Fuel Level,71.21,2023-01-04 04:41:14
VI4659,F0026,Vibration,3.74,2023-01-04 05:32:22
VI3648,F0026,Vibration,3.52,2023-01-04 04:43:33
AI5056,F0026,Air Pressure,92.65,2023-01-04 05:15:51
AI2035,F0026,Airspeed,339.79,2023-01-04 03:47:31
AI9782,F0026,Airspeed,556.93,2023-01-04 02:37:05
EN6428,F0027,Engine Temperature,516.85,2023-09-03 11:34:09
EN9920,F0027,Engine Temperature,505.52,2023-09-03 13:23:10
FU4547,F0027,Fuel Level,55.39,2023-09-03 11:52:09
FU9567,F0027,Fuel Level,,2023-09-03 12:39:51
VI4712,F0027,Vibration,1.39,2023-09-03 11:43:02
VI8438,F0027,Vibration,3.53,2023-09-03 10:51:34
VI6746,F0027,Vibration,1.77,2023-09-03 13:19:50
AI3793,F0027,Air Pressure,97.05,2023-09-03 10:54:47
AI2025,F0027,Air Pressure,,2023-09-03 13:41:43
AI5401,F0027,Airspeed,326.09,2023-09-03 10:30:11
EN9005,F0028,Engine Temperature,638.47,2023-05-04 07:15:35
FU3607,F0028,Fuel Level,83.33,2023-05-04 07:53:07
VI8587,F0028,Vibration,0.44,2023-05-04 08:23:14
AI3100,F0028,Air Pressure,108.65,2023-05-04 06:45:06
AI8095,F0028,Airspeed,528.99,2023-05-04 07:15:41
AI4887,F0028,Airspeed,,2023-05-04 07:48:23
EN8996,F0029,Engine Temperature,509.03,2023-12-21 11:03:37
EN4660,F0029,Engine Temperature,551.3,2023-12-21 10:00:02
EN2107,F0029,Engine Temperature,660.19,2023-12-21 09:36:11
FU5473,F0029,Fuel Level,37.07,2023-12-21 10:22:18
FU1671,F0029,Fuel Level,66.16,2023-12-21 11:17:37
FU7150,F0029,Fuel Level,27.92,2023-12-21 10:57:02
VI6639,F0029,Vibration,0.95,2023-12-21 09:50:13
VI5701,F0029,Vibration,1.65,2023-12-21 10:25:12
VI9965,F0029,Vibration,4.16,2023-12-21 09:53:20
AI9237,F0029,Air Pressure,108.38,2023-12-21 11:07:38
AI5665,F0029,Air Pressure,101.27,2023-12-21 11:06:04
AI2483,F0029,Airspeed,581.15,2023-12-21 10:22:28
AI4323,F0029,Airspeed,496.96,2023-12-21 10:54:50
EN9726,F0030,Engine Temperature,502.64,2023-05-24 13:59:13
FU3090,F0030,Fuel Level,65.72,2023-05-24 12:47:27
VI1989,F0030,Vibration,4.31,2023-05-24 11:47:37
VI3221,F0030,Vibration,1.88,2023-05-24 11:29:31
AI4954,F0030,Air Pressure,90.17,2023-05-24 11:38:09
AI5068,F0030,Air Pressure,106.73,2023-05-24 11:00:03
AI6159,F0030,Airspeed,310.11,2023-05-24 10:21:48
AI9445,F0030,Airspeed,548.86,2023-05-24 11:21:01
EN8532,F0031,Engine Temperature,,2023-02-07 13:51:09
EN9763,F0031,Engine Temperature,593.65,2023-02-07 12:17:28
FU4609,F0031,Fuel Level,39.09,2023-02-07 12:26:44
VI3253,F0031,Vibration,2.3,2023-02-07 14:36:18
VI1320,F0031,Vibration,4.83,2023-02-07 12:11:11
VI7723,F0031,Vibration,2.46,2023-02-07 14:40:58
AI4117,F0031,Air Pressure,90.26,2023-02-07 12:54:10
AI9354,F0031,Air Pressure,102.9,2023-02-07 13:08:12
AI9562,F0031,Airspeed,523.85,2023-02-07 13:32:23
AI5282,F0031,Airspeed,519.34,2023-02-07 14:02:45
EN8157,F0032,Engine Temperature,,2023-10-24 18:07:18
EN9092,F0032,Engine Temperature,694.21,2023-10-24 21:12:54
EN2464,F0032,Engine Temperature,670.28,2023-10-24 20:37:08
FU5527,F0032,Fuel Level,25.14,2023-10-24 19:55:11
FU5723,F0032,Fuel Level,25.95,2023-10-24 18:15:05
FU9647,F0032,Fuel Level,68.1,2023-10-24 20:03:11
VI5384,F0032,Vibration,4.11,2023-10-24 17:56:38
AI5655,F0032,Air Pressure,103.05,2023-10-24 21:10:29
AI8604,F0032,Airspeed,369.7,2023-10-24 19:28:07
EN4328,F0033,Engine Temperature,569.06,2023-11-03 11:48:15
EN5808,F0033,Engine Temperature,546.0,2023-11-03 12:01:35
FU3695,F0033,Fuel Level,66.86,2023-11-03 11:44:08
VI4456,F0033,Vibration,3.43,2023-11-03 10:58:27
VI7617,F0033,Vibration,2.22,2023-11-03 11:00:11
AI4018,F0033,Air Pressure,97.26,2023-11-03 12:02:18
AI3329,F0033,Air Pressure,97.16,2023-11-03 10:31:25
AI5579,F0033,Air Pressure,99.45,2023-11-03 10:41:58
AI5588,F0033,Airspeed,594.81,2023-11-03 10:37:25
EN3381,F0034,Engine Temperature,656.55,2023-04-07 05:08:27
EN7837,F0034,Engine Temperature,581.27,2023-04-07 06:17:13
FU6924,F0034,Fuel Level,43.08,2023-04-07 05:51:10
FU9031,F0034,Fuel Level,60.11,2023-04-07 06:48:27
FU2103,F0034,Fuel Level,93.08,2023-04-07 05:11:57
VI1602,F0034,Vibration,2.24,2023-04-07 04:56:59
VI1944,F0034,Vibration,4.19,2023-04-07 05:21:58
AI2748,F0034,Air Pressure,104.01,2023-04-07 05:29:02
AI6451,F0034,Air Pressure,93.52,2023-04-07 04:58:39
AI4799,F0034,Air Pressure,99.7,2023-04-07 06:42:04
AI9056,F0034,Airspeed,535.58,2023-04-07 05:53:06
EN9678,F0035,Engine Temperature,501.15,2023-07-19 09:43:16
EN2398,F0035,Engine Temperature,548.0,2023-07-19 08:02:47
FU3648,F0035,Fuel Level,81.56,2023-07-19 06:57:34
FU8339,F0035,Fuel Level,21.99,2023-07-19 07:28:45
FU9794,F0035,Fuel Level,84.31,2023-07-19 06:38:42
VI7393,F0035,Vibration,2.0,2023-07-19 08:50:13
AI9506,F0035,Air Pressure,90.74,2023-07-19 06:59:13
AI8396,F0035,Air Pressure,107.8,2023-07-19 08:11:26
AI2012,F0035,Air Pressure,93.01,2023-07-19 09:37:25
AI4807,F0035,Airspeed,560.2,2023-07-19 09:22:06
AI9180,F0035,Airspeed,437.66,2023-07-19 06:50:05
EN9730,F0036,Engine Temperature,582.53,2023-02-06 20:50:54
EN5761,F0036,Engine Temperature,635.83,2023-02-06 22:29:48
EN8802,F0036,Engine Temperature,544.34,2023-02-06 20:32:31
FU5350,F0036,Fuel Level,80.01,2023-02-06 19:56:49
