flight_id,event_time,latitude,longitude,altitude,temperature,wind_speed,wind_direction,weather_condition
F0001,2023-11-04 14:30:43,29.8032,-70.8207,32922.23,,8.0,N,Cloudy
F0001,2023-11-04 14:56:52,54.0904,-124.5426,11792.82,,57.0,W,Cloudy
F0001,2023-11-04 15:02:14,59.0914,-67.6604,28013.11,6.5,75.6,E,Rain
F0002,2023-08-29 11:46:03,56.4008,-66.0488,8638.63,-5.7,84.3,SE,Sunny
F0002,2023-08-29 11:50:06,57.5423,-86.7949,6868.6,18.3,83.5,W,Clear
F0002,2023-08-29 11:36:05,20.6267,-109.4365,26548.8,26.9,134.7,W,Cloudy
F0002,2023-08-29 12:13:07,30.5169,-122.0628,14984.33,17.9,49.0,E,Cloudy
F0002,2023-08-29 12:11:19,50.6796,-80.0161,26738.57,26.6,111.9,W,Rain
F0003,2023-10-16 08:20:11,58.5133,-121.2116,26966.33,-5.4,46.0,SE,Cloudy
F0003,2023-10-16 08:33:10,23.3804,-103.9848,28884.53,-11.1,36.6,NW,Sunny
F0003,2023-10-16 05:58:21,30.8292,-60.3062,25631.55,-17.0,40.6,SE,Cloudy
F0003,2023-10-16 06:07:45,54.3885,-93.2077,35968.89,-12.2,69.8,SW,Storm
F0003,2023-10-16 06:51:36,56.7776,-88.9148,28992.08,10.8,118.7,W,Clear
F0004,2023-03-22 03:50:56,23.25,-103.3816,32041.19,23.6,66.2,NE,Sunny
F0004,2023-03-22 03:34:55,57.3769,-81.1707,9833.68,26.3,11.5,N,Rain
F0004,2023-03-22 03:41:03,51.7369,-88.2486,19599.25,21.6,12.7,SW,Sunny
F0004,2023-03-22 03:22:34,30.1757,-102.6111,13808.35,,36.6,E,Cloudy
F0005,2023-06-29 23:25:54,59.6231,-112.1572,16800.94,-0.7,1.9,SW,Sunny
F0005,2023-06-29 23:17:57,36.5522,-61.8928,39647.34,-0.7,100.4,SW,Storm
F0005,2023-06-29 23:48:24,24.8519,-82.8397,35441.63,-16.7,119.4,NW,Cloudy
F0005,2023-06-29 20:53:10,37.7528,-110.9255,9200.7,27.5,,NW,Rain
F0006,2023-10-27 22:17:05,57.3347,-71.4888,5084.51,7.4,5.3,NW,Sunny
F0006,2023-10-27 23:26:18,42.5346,-82.4038,17525.58,-0.3,103.4,E,Clear
F0006,2023-10-27 20:49:24,31.8799,-77.6702,5285.43,17.3,39.2,N,Clear
F0006,2023-10-27 22:52:29,31.7771,-91.7186,30882.09,26.7,61.4,NW,Storm
F0006,2023-10-27 20:42:41,23.3,-91.6807,8866.41,8.5,6.7,E,Sunny
F0006,2023-10-27 23:09:36,59.9243,-68.0944,27620.76,20.3,104.1,W,Storm
F0007,2023-10-06 14:46:19,56.2192,-89.9139,17106.49,2.0,132.7,S,Sunny
F0007,2023-10-06 14:11:59,44.947,-71.3698,39572.3,-2.7,115.1,W,Storm
F0007,2023-10-06 14:16:22,38.0136,-103.6792,32037.75,19.1,,NW,Rain
F0007,2023-10-06 14:58:49,30.1177,-110.4063,37405.33,25.8,82.0,SE,Storm
F0007,2023-10-06 14:46:43,50.1222,-118.2099,12721.89,26.5,4.6,SE,Rain
F0008,2023-10-23 18:28:08,23.7442,-122.9536,18710.02,2.4,88.4,E,Cloudy
F0008,2023-10-23 19:57:02,37.0316,-66.8551,14398.49,3.1,130.6,N,Rain
F0008,2023-10-23 19:05:23,20.3243,-71.295,30534.22,-11.3,143.3,S,Rain
F0009,2023-07-22 14:47:55,37.9233,-86.2552,4398.44,22.4,14.9,W,Storm
F0009,2023-07-22 14:15:33,47.5297,-77.285,26585.2,20.9,20.1,W,Rain
F0009,2023-07-22 13:53:52,58.5299,-78.6985,32590.66,28.5,119.0,W,Rain
F0009,2023-07-22 14:39:49,52.363,-78.1883,19638.08,-17.6,45.9,W,Clear
F0010,2023-10-07 02:05:35,46.6317,-117.8553,11224.39,-10.8,78.3,W,Sunny
F0010,2023-10-07 03:57:22,28.5226,-68.2518,37968.08,,103.4,SE,Sunny
F0010,2023-10-07 00:00:06,52.407,-62.1158,27060.22,-4.4,136.1,N,Sunny
F0011,2023-09-28 01:55:28,51.8065,-103.3834,31130.89,-11.9,6.7,SW,Sunny
F0011,2023-09-28 01:33:14,20.1281,-95.9224,20064.45,-3.0,118.3,SE,Sunny
F0011,2023-09-28 02:01:06,45.8564,-74.124,8261.44,-7.2,61.4,E,Cloudy
F0011,2023-09-28 01:41:45,21.3727,-60.1006,25958.33,7.7,54.8,S,Clear
F0012,2023-12-05 15:21:48,24.4512,-66.1761,18803.92,-10.8,19.8,N,Rain
F0012,2023-12-05 16:47:07,36.6626,-91.9964,24142.03,-10.0,59.3,W,Storm
F0012,2023-12-05 15:53:50,45.5685,-101.3547,28562.09,-7.6,149.4,E,Clear
F0012,2023-12-05 17:37:44,23.258,-126.9602,25699.47,24.0,,S,Clear
F0012,2023-12-05 16:41:29,31.4469,-80.7457,14306.95,-13.8,63.6,E,Cloudy
F0013,2023-03-25 12:34:14,51.822,-111.2538,30724.18,8.0,57.4,W,Rain
F0013,2023-03-25 14:08:10,26.6357,-102.041,33454.04,27.9,69.1,S,Cloudy
F0013,2023-03-25 13:32:22,29.4812,-67.2478,34355.67,,107.4,E,Storm
F0014,2023-08-15 16:23:45,58.371,-115.0482,18664.13,-16.2,142.3,N,Rain
F0014,2023-08-15 15:26:32,53.2903,-108.3267,34651.47,,9.8,SW,Sunny
F0014,2023-08-15 16:24:40,38.5749,-119.8414,22683.55,-17.3,67.1,SW,Storm
F0015,2023-10-26 04:04:14,36.8302,-104.7207,11889.35,12.8,,SW,Cloudy
F0015,2023-10-26 04:13:34,22.6617,-109.0384,22342.92,8.3,149.0,N,Rain
F0015,2023-10-26 05:23:54,37.0982,-108.0013,23304.51,15.1,83.2,NE,Clear
F0015,2023-10-26 06:34:59,55.2805,-87.2642,4706.79,8.8,75.0,W,Sunny
F0016,2023-06-19 06:43:17,53.7388,-72.3629,14304.25,28.3,8.1,S,Clear
F0016,2023-06-19 04:28:11,32.8727,-122.1299,30766.6,,17.9,N,Cloudy
F0016,2023-06-19 04:27:04,56.366,-101.9669,25448.82,,27.1,NE,Rain
F0017,2023-08-10 13:38:13,27.5917,-76.5435,7143.01,-1.0,106.3,SW,Clear
F0017,2023-08-10 12:03:16,57.4112,-122.6569,4852.9,,46.3,NE,Rain
F0017,2023-08-10 12:58:52,56.3285,-118.697,35354.83,15.0,134.5,SE,Clear
F0017,2023-08-10 13:22:23,43.0803,-122.2717,31422.42,5.6,1.5,NW,Clear
F0017,2023-08-10 14:01:07,24.5122,-109.3028,30345.37,,51.0,S,Sunny
F0017,2023-08-10 11:00:40,31.0799,-95.0536,30587.72,26.7,28.4,NE,Storm
F0018,2023-12-25 02:41:31,55.9254,-101.0696,4241.28,-6.9,67.7,N,Storm
F0018,2023-12-25 02:47:50,56.5206,-84.3674,6861.97,3.2,24.6,E,Clear
F0018,2023-12-25 02:05:32,45.5946,-126.8831,27994.67,25.7,40.8,SE,Clear
F0019,2023-02-06 00:58:24,37.9335,-125.021,24551.98,5.9,17.4,N,Rain
F0019,2023-02-06 00:53:51,33.8152,-125.8984,38520.61,1.5,89.2,W,Sunny
F0019,2023-02-06 00:18:31,24.8269,-111.927,30490.69,0.6,19.4,NE,Storm
F0020,2023-12-24 22:15:08,35.3027,-87.4945,23425.05,10.4,71.4,E,Clear
F0020,2023-12-24 22:05:08,21.5627,-90.08,16738.02,23.7,32.1,NE,Sunny
F0020,2023-12-24 22:39:56,34.3759,-102.6,28128.47,17.9,147.6,W,Clear
F0021,2023-12-29 18:54:20,44.3551,-77.3184,5668.32,-10.0,43.8,S,Clear
F0021,2023-12-29 19:20:22,36.5377,-67.1814,30136.27,18.9,,SW,Cloudy
F0021,2023-12-29 19:04:46,42.1577,-118.1859,31602.84,,64.9,W,Storm
F0021,2023-12-29 19:06:22,40.6652,-121.6182,36336.57,-14.1,46.2,SE,Sunny
F0021,2023-12-29 19:37:29,27.137,-126.4794,22187.68,-19.8,78.2,NW,Sunny
F0021,2023-12-29 19:42:33,59.5225,-62.4309,17282.78,21.9,,W,Rain
F0022,2023-12-26 21:01:52,28.9848,-101.4022,7413.04,-2.9,72.1,NW,Clear
