airport_id,airport_code,latitude,longitude
1,ADM,-18.986053,-139.799848
2,AIS,51.426357,-90.227504
3,ANJ,-30.747695,157.115884
4,APF,61.857561,98.932039
5,ARE,89.395658,60.325183
6,AUK,27.148343,85.004006
7,AWV,-11.608932,-150.349173
8,AWW,87.601399,-54.417536
9,AXQ,49.067365,-18.211125
10,BCC,81.691193,-50.593177
11,BFO,49.315199,-83.421964
12,BRU,53.30933,-97.138449
13,BUN,-40.242852,-179.949777
14,BWF,7.92977,-0.9304
15,CFX,-21.605306,-166.441704
16,CPV,53.067043,-0.677015
17,CRC,12.540669,47.950438
18,CWL,-56.087737,92.413821
19,DLT,28.508117,152.138319
20,DMP,74.090084,-156.898986
21,DNX,-69.135263,118.044202
22,DRN,-6.290213,-104.932281
23,DWH,22.462464,-25.579719
24,ECW,77.622738,-77.914757
25,EGH,64.19888,-19.802603
26,EOG,-43.396931,-47.877535
27,FAD,20.49502,167.514411
28,FAQ,-7.74289,109.198108
29,FDM,-20.29736,-35.147865
30,FNU,85.770522,157.043589
31,FNZ,-62.627062,-98.844541
32,FQQ,-30.290792,-73.907546
33,FSS,36.079092,-46.165779
34,FYA,46.873272,-158.063998
35,GFU,-67.460301,12.273813
36,GKY,6.86235,-84.138188
37,GWS,-71.285054,-125.803457
38,GZY,66.90444,74.160755
39,HCA,18.995514,-29.975796
40,HDH,44.100901,115.002835
41,HJD,39.356599,136.041586
42,HOR,30.708614,-155.617258
43,HSB,-16.205229,-162.083546
44,HSY,50.696786,-142.383646
45,HVD,67.124356,26.059531
46,HVO,39.864746,54.915083
47,IAD,-44.448212,23.121289
48,IDM,-68.331311,147.949304
49,IDO,77.742533,13.077283
50,IFT,-30.767815,119.551401
51,IJO,-57.497463,130.160345
52,IRB,-12.110713,-50.161164
53,IVP,-30.491612,32.748105
54,IVQ,44.523476,125.015729
55,IWZ,-20.683441,-37.545436
56,IXI,29.926609,-0.182165
57,IXU,-24.503861,-144.651299
58,JDK,-71.051394,-93.501225
59,JEO,29.464143,-152.768039
60,JPP,62.571863,-24.005066
61,JXO,-88.92313,69.917281
62,JXQ,80.667207,-36.42956
63,KAN,-23.440496,79.540564
64,KBU,-3.308041,114.908964
65,KEJ,-55.998626,13.404956
66,KEO,-56.907469,-85.697807
67,KLS,74.044721,-179.643783
68,KNK,43.865405,-6.804552
69,KOO,-7.26966,-62.050348
70,KQD,-22.213787,-32.303788
71,KWK,3.548821,7.419711
72,KXV,20.647636,179.01677
73,LBB,-70.412049,8.969004
74,LCJ,-73.832016,147.641556
75,LFW,5.5857,137.216331
76,LRW,-11.755839,109.793966
77,LYI,7.261402,-160.725031
78,MCX,-63.816732,71.091338
79,MCZ,-28.679212,148.289791
80,MHG,-40.21391,-41.246285
81,MIB,1.429877,-176.047667
82,MRJ,55.347035,6.490358
83,MTP,3.829234,-103.713002
84,MUZ,-21.79503,-63.470839
85,MVJ,41.093483,121.068087
86,NAH,-61.040555,-82.223402
87,NFA,89.28601,-63.235643
88,NFE,83.757807,73.45624
89,NGE,-73.989035,179.579677
90,NIJ,3.352837,7.312292
91,NJT,31.980605,57.918962
92,NLQ,26.616934,93.740904
93,NLU,17.891362,178.379756
94,NMK,33.607579,-98.880108
95,NPL,-31.598914,-166.970388
96,NTH,-15.32484,-107.855911
97,NVD,-5.313969,-133.014002
98,NXM,69.874779,-58.588133
99,NXR,-46.581713,61.399113
100,NZK,68.795828,47.360893
101,OFT,-83.508944,-138.562911
102,OKI,-73.676496,-60.201579
103,OKR,47.389555,-140.344013
104,OLQ,-43.39488,-110.4191
105,OQS,-37.362173,86.79034
106,OSZ,-20.758221,-23.011012
107,PBW,-80.649557,0.146333
108,PDG,53.144885,111.135524
109,PLN,-11.059574,81.744084
110,PLQ,53.973385,93.368346
111,PLV,79.868196,-20.958001
112,PQP,-66.417711,-93.000417
113,PRE,1.717242,-121.521192
114,PRF,42.147062,-103.848576
115,PUU,-52.532396,-61.433639
116,QBE,-31.086613,110.468358
