date_id,full_date,year,quarter,month,day,day_of_week
1,2024-06-02,2024,2,6,2,7
2,2024-06-03,2024,2,6,3,1
3,2024-06-04,2024,2,6,4,2
4,2024-06-05,2024,2,6,5,3
5,2024-06-06,2024,2,6,6,4
6,2024-06-07,2024,2,6,7,5
7,2024-06-08,2024,2,6,8,6
8,2024-06-09,2024,2,6,9,7
9,2024-06-10,2024,2,6,10,1
10,2024-06-11,2024,2,6,11,2
11,2024-06-12,2024,2,6,12,3
12,2024-06-13,2024,2,6,13,4
13,2024-06-14,2024,2,6,14,5
14,2024-06-15,2024,2,6,15,6
15,2024-06-16,2024,2,6,16,7
16,2024-06-17,2024,2,6,17,1
17,2024-06-18,2024,2,6,18,2
18,2024-06-19,2024,2,6,19,3
19,2024-06-20,2024,2,6,20,4
20,2024-06-21,2024,2,6,21,5
21,2024-06-22,2024,2,6,22,6
22,2024-06-23,2024,2,6,23,7
23,2024-06-24,2024,2,6,24,1
24,2024-06-25,2024,2,6,25,2
25,2024-06-26,2024,2,6,26,3
26,2024-06-27,2024,2,6,27,4
27,2024-06-28,2024,2,6,28,5
28,2024-06-29,2024,2,6,29,6
29,2024-06-30,2024,2,6,30,7
30,2024-07-01,2024,3,7,1,1
31,2024-07-02,2024,3,7,2,2
32,2024-07-03,2024,3,7,3,3
33,2024-07-04,2024,3,7,4,4
34,2024-07-05,2024,3,7,5,5
35,2024-07-06,2024,3,7,6,6
36,2024-07-07,2024,3,7,7,7
37,2024-07-08,2024,3,7,8,1
38,2024-07-09,2024,3,7,9,2
39,2024-07-10,2024,3,7,10,3
40,2024-07-11,2024,3,7,11,4
41,2024-07-12,2024,3,7,12,5
42,2024-07-13,2024,3,7,13,6
43,2024-07-14,2024,3,7,14,7
44,2024-07-15,2024,3,7,15,1
45,2024-07-16,2024,3,7,16,2
46,2024-07-17,2024,3,7,17,3
47,2024-07-18,2024,3,7,18,4
48,2024-07-19,2024,3,7,19,5
49,2024-07-20,2024,3,7,20,6
50,2024-07-21,2024,3,7,21,7
51,2024-07-22,2024,3,7,22,1
52,2024-07-23,2024,3,7,23,2
53,2024-07-24,2024,3,7,24,3
54,2024-07-25,2024,3,7,25,4
55,2024-07-26,2024,3,7,26,5
56,2024-07-27,2024,3,7,27,6
57,2024-07-28,2024,3,7,28,7
58,2024-07-29,2024,3,7,29,1
59,2024-07-30,2024,3,7,30,2
60,2024-07-31,2024,3,7,31,3
61,2024-08-01,2024,3,8,1,4
62,2024-08-02,2024,3,8,2,5
63,2024-08-03,2024,3,8,3,6
64,2024-08-04,2024,3,8,4,7
65,2024-08-05,2024,3,8,5,1
66,2024-08-06,2024,3,8,6,2
67,2024-08-07,2024,3,8,7,3
68,2024-08-08,2024,3,8,8,4
69,2024-08-09,2024,3,8,9,5
70,2024-08-10,2024,3,8,10,6
71,2024-08-11,2024,3,8,11,7
72,2024-08-12,2024,3,8,12,1
73,2024-08-13,2024,3,8,13,2
74,2024-08-14,2024,3,8,14,3
75,2024-08-15,2024,3,8,15,4
76,2024-08-16,2024,3,8,16,5
77,2024-08-17,2024,3,8,17,6
78,2024-08-18,2024,3,8,18,7
79,2024-08-19,2024,3,8,19,1
80,2024-08-20,2024,3,8,20,2
81,2024-08-21,2024,3,8,21,3
82,2024-08-22,2024,3,8,22,4
83,2024-08-23,2024,3,8,23,5
84,2024-08-24,2024,3,8,24,6
85,2024-08-25,2024,3,8,25,7
86,2024-08-26,2024,3,8,26,1
87,2024-08-27,2024,3,8,27,2
88,2024-08-28,2024,3,8,28,3
89,2024-08-29,2024,3,8,29,4
90,2024-08-30,2024,3,8,30,5
91,2024-08-31,2024,3,8,31,6
92,2024-09-01,2024,3,9,1,7
93,2024-09-02,2024,3,9,2,1
94,2024-09-03,2024,3,9,3,2
95,2024-09-04,2024,3,9,4,3
96,2024-09-05,2024,3,9,5,4
97,2024-09-06,2024,3,9,6,5
98,2024-09-07,2024,3,9,7,6
99,2024-09-08,2024,3,9,8,7
100,2024-09-09,2024,3,9,9,1
101,2024-09-10,2024,3,9,10,2
102,2024-09-11,2024,3,9,11,3
103,2024-09-12,2024,3,9,12,4
104,2024-09-13,2024,3,9,13,5
105,2024-09-14,2024,3,9,14,6
106,2024-09-15,2024,3,9,15,7
107,2024-09-16,2024,3,9,16,1
108,2024-09-17,2024,3,9,17,2
109,2024-09-18,2024,3,9,18,3
110,2024-09-19,2024,3,9,19,4
111,2024-09-20,2024,3,9,20,5
112,2024-09-21,2024,3,9,21,6
113,2024-09-22,2024,3,9,22,7
114,2024-09-23,2024,3,9,23,1
115,2024-09-24,2024,3,9,24,2
116,2024-09-25,2024,3,9,25,3
117,2024-09-26,2024,3,9,26,4
118,2024-09-27,2024,3,9,27,5
119,2024-09-28,2024,3,9,28,6
120,2024-09-29,2024,3,9,29,7
121,2024-09-30,2024,3,9,30,1
122,2024-10-01,2024,4,10,1,2
123,2024-10-02,2024,4,10,2,3
124,2024-10-03,2024,4,10,3,4
125,2024-10-04,2024,4,10,4,5
126,2024-10-05,2024,4,10,5,6
127,2024-10-06,2024,4,10,6,7
128,2024-10-07,2024,4,10,7,1
129,2024-10-08,2024,4,10,8,2
130,2024-10-09,2024,4,10,9,3
131,2024-10-10,2024,4,10,10,4
132,2024-10-11,2024,4,10,11,5
133,2024-10-12,2024,4,10,12,6
134,2024-10-13,2024,4,10,13,7
135,2024-10-14,2024,4,10,14,1
136,2024-10-15,2024,4,10,15,2
137,2024-10-16,2024,4,10,16,3
138,2024-10-17,2024,4,10,17,4
139,2024-10-18,2024,4,10,18,5
140,2024-10-19,2024,4,10,19,6
141,2024-10-20,2024,4,10,20,7
142,2024-10-21,2024,4,10,21,1
143,2024-10-22,2024,4,10,22,2
144,2024-10-23,2024,4,10,23,3
145,2024-10-24,2024,4,10,24,4
146,2024-10-25,2024,4,10,25,5
147,2024-10-26,2024,4,10,26,6
148,2024-10-27,2024,4,10,27,7
149,2024-10-28,2024,4,10,28,1
150,2024-10-29,2024,4,10,29,2
151,2024-10-30,2024,4,10,30,3
152,2024-10-31,2024,4,10,31,4
153,2024-11-01,2024,4,11,1,5
154,2024-11-02,2024,4,11,2,6
155,2024-11-03,2024,4,11,3,7
156,2024-11-04,2024,4,11,4,1
157,2024-11-05,2024,4,11,5,2
158,2024-11-06,2024,4,11,6,3
159,2024-11-07,2024,4,11,7,4
160,2024-11-08,2024,4,11,8,5
161,2024-11-09,2024,4,11,9,6
162,2024-11-10,2024,4,11,10,7
163,2024-11-11,2024,4,11,11,1
164,2024-11-12,2024,4,11,12,2
165,2024-11-13,2024,4,11,13,3
166,2024-11-14,2024,4,11,14,4
167,2024-11-15,2024,4,11,15,5
168,2024-11-16,2024,4,11,16,6
169,2024-11-17,2024,4,11,17,7
170,2024-11-18,2024,4,11,18,1
171,2024-11-19,2024,4,11,19,2
172,2024-11-20,2024,4,11,20,3
173,2024-11-21,2024,4,11,21,4
174,2024-11-22,2024,4,11,22,5
175,2024-11-23,2024,4,11,23,6
176,2024-11-24,2024,4,11,24,7
177,2024-11-25,2024,4,11,25,1
178,2024-11-26,2024,4,11,26,2
179,2024-11-27,2024,4,11,27,3
180,2024-11-28,2024,4,11,28,4
181,2024-11-29,2024,4,11,29,5
182,2024-11-30,2024,4,11,30,6
183,2024-12-01,2024,4,12,1,7
184,2024-12-02,2024,4,12,2,1
185,2024-12-03,2024,4,12,3,2
186,2024-12-04,2024,4,12,4,3
187,2024-12-05,2024,4,12,5,4
188,2024-12-06,2024,4,12,6,5
189,2024-12-07,2024,4,12,7,6
190,2024-12-08,2024,4,12,8,7
191,2024-12-09,2024,4,12,9,1
192,2024-12-10,2024,4,12,10,2
193,2024-12-11,2024,4,12,11,3
194,2024-12-12,2024,4,12,12,4
195,2024-12-13,2024,4,12,13,5
196,2024-12-14,2024,4,12,14,6
197,2024-12-15,2024,4,12,15,7
198,2024-12-16,2024,4,12,16,1
199,2024-12-17,2024,4,12,17,2
200,2024-12-18,2024,4,12,18,3
201,2024-12-19,2024,4,12,19,4
202,2024-12-20,2024,4,12,20,5
203,2024-12-21,2024,4,12,21,6
204,2024-12-22,2024,4,12,22,7
205,2024-12-23,2024,4,12,23,1
206,2024-12-24,2024,4,12,24,2
207,2024-12-25,2024,4,12,25,3
208,2024-12-26,2024,4,12,26,4
209,2024-12-27,2024,4,12,27,5
210,2024-12-28,2024,4,12,28,6
211,2024-12-29,2024,4,12,29,7
212,2024-12-30,2024,4,12,30,1
213,2024-12-31,2024,4,12,31,2
214,2025-01-01,2025,1,1,1,3
215,2025-01-02,2025,1,1,2,4
216,2025-01-03,2025,1,1,3,5
217,2025-01-04,2025,1,1,4,6
218,2025-01-05,2025,1,1,5,7
219,2025-01-06,2025,1,1,6,1
220,2025-01-07,2025,1,1,7,2
221,2025-01-08,2025,1,1,8,3
222,2025-01-09,2025,1,1,9,4
223,2025-01-10,2025,1,1,10,5
224,2025-01-11,2025,1,1,11,6
225,2025-01-12,2025,1,1,12,7
226,2025-01-13,2025,1,1,13,1
227,2025-01-14,2025,1,1,14,2
228,2025-01-15,2025,1,1,15,3
229,2025-01-16,2025,1,1,16,4
230,2025-01-17,2025,1,1,17,5
231,2025-01-18,2025,1,1,18,6
232,2025-01-19,2025,1,1,19,7
233,2025-01-20,2025,1,1,20,1
234,2025-01-21,2025,1,1,21,2
235,2025-01-22,2025,1,1,22,3
236,2025-01-23,2025,1,1,23,4
237,2025-01-24,2025,1,1,24,5
238,2025-01-25,2025,1,1,25,6
239,2025-01-26,2025,1,1,26,7
240,2025-01-27,2025,1,1,27,1
241,2025-01-28,2025,1,1,28,2
242,2025-01-29,2025,1,1,29,3
243,2025-01-30,2025,1,1,30,4
244,2025-01-31,2025,1,1,31,5
245,2025-02-01,2025,1,2,1,6
246,2025-02-02,2025,1,2,2,7
247,2025-02-03,2025,1,2,3,1
248,2025-02-04,2025,1,2,4,2
249,2025-02-05,2025,1,2,5,3
250,2025-02-06,2025,1,2,6,4
251,2025-02-07,2025,1,2,7,5
252,2025-02-08,2025,1,2,8,6
253,2025-02-09,2025,1,2,9,7
254,2025-02-10,2025,1,2,10,1
255,2025-02-11,2025,1,2,11,2
256,2025-02-12,2025,1,2,12,3
257,2025-02-13,2025,1,2,13,4
258,2025-02-14,2025,1,2,14,5
259,2025-02-15,2025,1,2,15,6
260,2025-02-16,2025,1,2,16,7
261,2025-02-17,2025,1,2,17,1
262,2025-02-18,2025,1,2,18,2
263,2025-02-19,2025,1,2,19,3
264,2025-02-20,2025,1,2,20,4
265,2025-02-21,2025,1,2,21,5
266,2025-02-22,2025,1,2,22,6
267,2025-02-23,2025,1,2,23,7
268,2025-02-24,2025,1,2,24,1
269,2025-02-25,2025,1,2,25,2
270,2025-02-26,2025,1,2,26,3
271,2025-02-27,2025,1,2,27,4
272,2025-02-28,2025,1,2,28,5
273,2025-03-01,2025,1,3,1,6
274,2025-03-02,2025,1,3,2,7
275,2025-03-03,2025,1,3,3,1
276,2025-03-04,2025,1,3,4,2
277,2025-03-05,2025,1,3,5,3
278,2025-03-06,2025,1,3,6,4
279,2025-03-07,2025,1,3,7,5
280,2025-03-08,2025,1,3,8,6
281,2025-03-09,2025,1,3,9,7
282,2025-03-10,2025,1,3,10,1
283,2025-03-11,2025,1,3,11,2
284,2025-03-12,2025,1,3,12,3
285,2025-03-13,2025,1,3,13,4
286,2025-03-14,2025,1,3,14,5
287,2025-03-15,2025,1,3,15,6
288,2025-03-16,2025,1,3,16,7
289,2025-03-17,2025,1,3,17,1
290,2025-03-18,2025,1,3,18,2
291,2025-03-19,2025,1,3,19,3
292,2025-03-20,2025,1,3,20,4
293,2025-03-21,2025,1,3,21,5
294,2025-03-22,2025,1,3,22,6
295,2025-03-23,2025,1,3,23,7
296,2025-03-24,2025,1,3,24,1
297,2025-03-25,2025,1,3,25,2
298,2025-03-26,2025,1,3,26,3
299,2025-03-27,2025,1,3,27,4
300,2025-03-28,2025,1,3,28,5
301,2025-03-29,2025,1,3,29,6
302,2025-03-30,2025,1,3,30,7
303,2025-03-31,2025,1,3,31,1
304,2025-04-01,2025,2,4,1,2
305,2025-04-02,2025,2,4,2,3
306,2025-04-03,2025,2,4,3,4
307,2025-04-04,2025,2,4,4,5
308,2025-04-05,2025,2,4,5,6
