airport_origin,airport_destination,number_of_passengers,number_of_luggage,average_height,average_temperature,average_humidity,average_wind_speed,average_wind_direction,most_common_condition,number_of_most_common_condition,time_of_flight,distance,delay_in_minutes
KIX,MTG,184,120,5101.0,23.45,56.42,50.4,353.31,Snow,1,5.9,2981.51,114.56
JAS,UTQ,291,71,3676.66,-33.82,76.76,63.62,337.77,Cloudy,3,2.52,1121.56,27.57
UPP,MKC,177,53,8900.58,-29.88,56.7,120.3,337.85,Fog,1,3.34,1522.22,264.4
RLO,GJI,232,50,10755.63,-42.14,98.66,15.85,345.16,Rain,18,14.33,6669.82,193.04
IIN,CEB,147,183,5131.59,-14.4,47.81,41.96,11.73,Cloudy,10,3.92,1727.77,132.56
NHT,ENC,262,200,11740.45,-49.67,53.72,11.31,32.02,Rain,15,1.6,782.14,92.17
JDP,HVU,235,116,7322.23,-15.85,0.45,121.3,19.44,Fog,12,6.83,3267.61,32.26
CSF,QDA,217,72,6550.44,-39.48,40.53,69.66,255.84,Snow,10,3.32,1404.94,288.13
KPU,JUA,201,164,11467.76,34.55,62.39,16.1,255.07,Rain,9,6.17,2785.97,286.28
YMX,GHC,249,72,10230.17,-47.87,87.99,32.45,181.13,Storm,17,7.4,3705.62,20.62
UVX,CYX,107,56,5181.51,-34.89,30.39,99.71,52.53,Rain,11,9.1,4616.35,7.54
EMD,AJB,50,54,6982.58,-21.08,36.24,13.79,110.69,Fog,16,8.03,4292.79,274.56
XYK,IIN,223,94,7360.39,34.61,77.63,20.43,292.72,Rain,3,7.03,3633.09,175.15
JUA,AMT,66,145,6805.48,-32.42,27.63,43.8,110.98,Storm,2,13.3,6613.37,285.8
CYX,TFP,122,135,8221.58,13.59,69.7,131.47,187.48,Storm,2,8.82,4678.98,159.12
YCM,ZAW,281,92,7084.37,-23.0,99.63,28.83,297.65,Clear,12,11.63,5285.62,66.27
YRA,NCK,261,67,10097.13,26.02,69.63,77.84,3.71,Snow,7,14.71,7183.45,262.48
POA,XWC,223,125,7308.04,29.34,71.3,7.94,181.15,Clear,5,11.69,6073.67,148.46
VOZ,OQH,253,152,5518.75,-48.19,82.08,112.02,303.5,Clear,7,11.61,6368.52,19.23
WPW,FRW,277,102,10056.8,-40.33,90.75,79.33,107.14,Clear,11,10.62,5643.31,78.5
QPC,RLO,112,142,5485.54,9.54,59.73,97.7,220.56,Clear,8,7.36,3755.06,203.14
ESB,KKH,178,128,4069.54,11.99,53.3,64.02,237.43,Clear,12,0.66,327.54,123.79
XXO,RMV,227,90,4775.51,17.78,26.81,67.95,297.76,Cloudy,3,12.86,5911.02,2.71
BEA,EVC,142,122,11956.14,-27.64,42.38,58.79,189.11,Clear,3,3.32,1629.96,220.75
XJQ,WZQ,250,70,10888.09,-44.01,92.15,4.15,29.53,Storm,16,1.9,871.19,145.35
WPW,CYX,57,73,8339.77,23.83,95.01,2.01,289.24,Fog,17,2.86,1352.37,116.52
XLT,HBG,213,70,9024.8,11.67,95.94,112.21,150.93,Storm,12,12.83,6309.94,116.76
EVC,VDX,247,117,6208.65,-2.06,3.59,85.34,45.23,Storm,18,6.96,3433.14,79.32
ZUL,WQW,285,114,5884.46,-34.43,62.6,125.46,23.4,Fog,8,2.0,947.06,258.03
QJL,EEU,130,90,10614.39,-2.68,9.84,50.01,276.02,Cloudy,7,14.78,6654.93,119.28
FBU,UTQ,292,128,8233.98,10.36,92.45,111.13,340.54,Snow,15,7.21,3770.83,264.4
VDX,AIG,56,90,3878.03,22.05,12.54,73.33,74.67,Rain,18,1.31,688.02,135.29
CHG,HGX,79,87,7497.35,8.08,68.63,87.92,56.73,Rain,17,3.2,1729.52,158.22
KJB,PUI,259,120,3808.49,29.62,25.97,7.7,71.17,Clear,18,2.91,1427.93,111.28
EEU,AMT,282,110,5410.36,37.45,41.27,23.15,170.5,Storm,18,11.55,5394.72,11.8
YCM,HGX,84,93,9089.51,23.44,43.99,147.29,71.41,Storm,10,1.26,545.04,59.53
JDF,IIN,225,154,10586.14,-27.64,47.28,107.28,259.7,Storm,9,10.4,5227.17,225.87
XAN,OQH,260,141,3296.22,33.39,54.05,5.66,133.54,Rain,6,2.08,1140.46,126.08
PBW,RTU,101,144,10194.6,-32.88,6.04,10.14,90.21,Cloudy,12,7.0,3125.6,236.95
WHU,ZUL,94,130,7887.0,17.59,51.64,26.26,162.42,Rain,19,5.41,2509.71,188.91
QDA,UVX,97,141,11545.57,-43.12,41.29,105.31,289.92,Clear,20,0.84,357.98,176.59
BVO,MVH,61,137,11165.56,11.73,71.4,45.7,323.62,Storm,14,4.33,2304.51,26.04
BEA,ODZ,91,101,9267.95,31.11,30.16,30.48,156.95,Cloudy,2,0.81,426.57,224.83
RTU,POA,192,70,8219.87,-10.79,31.56,2.47,181.96,Snow,12,13.31,6027.72,195.02
SQX,EMD,53,189,10101.76,-41.26,12.0,77.52,197.23,Clear,11,2.43,1087.11,94.99
UXH,UTQ,171,76,3773.35,-41.86,95.4,110.01,104.58,Snow,18,11.4,4899.29,293.74
UVX,JNI,229,80,4260.03,-24.18,13.78,120.96,138.77,Rain,16,13.55,6276.94,141.36
PUI,GIH,244,50,8093.59,-4.06,11.1,133.34,84.95,Fog,18,6.07,3243.46,159.93
PUI,XKP,228,102,3178.43,5.77,40.35,36.7,307.42,Storm,10,8.31,3669.25,251.89
FRW,EMD,248,62,6409.47,13.75,4.03,103.81,161.79,Fog,10,1.85,962.75,217.09
