flight_id,airport,gate,delay_minutes,delay_flag,on_time_flag,hour_of_day,day_of_week,Engine Temperature,Fuel Level,Vibration,Air Pressure,Airspeed,avg_temperature_flight,max_temperature_flight,avg_wind_speed_flight,max_wind_speed_flight,predominant_wind_direction,pct_rain_events,num_weather_points,total_ticket_revenue,total_passenger_count,num_bookings,flight_duration
F0001,ORD,ORD_G8,6.0,0,1,14,5,603.385,48.754999999999995,2.7550000000000003,102.46000000000001,351.88,6.5,6.5,46.86666666666667,75.6,E,0.3333333333333333,3,2138.94,12.0,4.0,60.0
F0002,ORD,ORD_G6,54.0,1,0,11,1,622.5266666666666,70.79333333333334,0.96,100.145,575.78,16.8,26.9,92.67999999999999,134.7,W,0.2,5,379.56,1.0,1.0,60.0
F0003,JFK,JFK_G5,55.0,1,0,5,0,693.81,65.775,4.166666666666667,101.08,448.51,-6.9799999999999995,10.8,62.339999999999996,118.7,SE,0.0,5,2346.41,14.0,4.0,180.0
F0004,ATL,ATL_G5,25.0,0,0,3,2,524.255,66.01,2.02,108.275,408.99,23.833333333333332,26.3,31.75,66.2,E,0.25,4,1592.84,9.0,3.0,60.0
F0005,DFW,DFW_G9,37.0,1,0,19,3,618.25,87.4,1.7033333333333334,93.49,547.58,2.3500000000000005,27.5,73.9,119.4,NW,0.25,4,2494.1,9.0,4.0,300.0
F0006,DFW,DFW_G6,40.0,1,0,20,4,624.5366666666666,20.1,2.4,106.2,368.53499999999997,13.316666666666668,26.7,53.35,104.1,E,0.0,6,3663.75,14.0,5.0,180.0
F0007,DFW,DFW_G9,39.0,1,0,14,4,,40.64666666666667,2.93,103.53333333333335,445.6233333333333,14.14,26.5,83.6,132.7,SE,0.4,5,3127.03,20.0,5.0,60.0
F0008,DFW,DFW_G2,5.0,0,1,18,0,623.23,66.46,3.9566666666666666,93.98,526.88,-1.9333333333333336,3.1,120.76666666666667,143.3,E,0.6666666666666666,3,1123.8799999999999,7.0,3.0,120.0
F0009,JFK,JFK_G7,46.0,1,0,13,5,542.8900000000001,60.775000000000006,3.4933333333333336,94.71,434.81,13.549999999999999,28.5,49.975,119.0,W,0.5,4,1280.79,5.0,2.0,60.0
F0010,DFW,DFW_G2,1.0,0,1,23,4,662.94,90.31,2.7566666666666664,97.56,436.5,-7.6000000000000005,-4.4,105.93333333333334,136.1,N,0.0,3,943.92,2.0,1.0,300.0
F0011,LAX,LAX_G8,6.0,0,1,1,3,522.88,39.81,3.046666666666667,104.755,350.11,-3.6,7.7,60.3,118.3,E,0.0,4,987.28,1.0,1.0,60.0
F0013,LAX,LAX_G2,1.0,0,1,11,5,586.8,32.59,1.625,95.56666666666666,507.47333333333336,17.95,27.9,77.96666666666667,107.4,E,0.3333333333333333,3,760.56,1.0,1.0,180.0
F0014,LAX,LAX_G4,19.0,0,0,14,1,667.0550000000001,62.455,2.22,93.47,412.3866666666666,-16.75,-16.2,73.06666666666666,142.3,SW,0.3333333333333333,3,2482.7200000000003,7.0,3.0,300.0
F0015,ATL,ATL_G8,8.0,0,1,4,3,585.585,62.02666666666667,3.0066666666666664,95.88666666666666,494.0,11.25,15.1,102.39999999999999,149.0,N,0.25,4,1799.33,12.0,4.0,180.0
F0016,ATL,ATL_G5,53.0,1,0,3,0,582.91,76.98,4.385,100.42333333333333,464.6766666666667,28.3,28.3,17.7,27.1,N,0.3333333333333333,3,3576.88,13.0,5.0,240.0
F0017,LAX,LAX_G4,37.0,1,0,10,3,584.6166666666667,67.14,3.995,104.94,307.94,11.575,26.7,61.333333333333336,134.5,NE,0.16666666666666666,6,0.0,0.0,0.0,240.0
F0018,JFK,JFK_G5,3.0,0,1,2,0,558.18,46.99666666666667,2.0566666666666666,102.20666666666666,433.95,7.333333333333333,25.7,44.36666666666667,67.7,E,0.0,3,606.99,1.0,1.0,60.0
F0019,JFK,JFK_G8,53.0,1,0,0,0,661.21,74.26,1.4933333333333334,100.54,351.82,2.6666666666666665,5.9,42.0,89.2,N,0.3333333333333333,3,1707.97,12.0,4.0,60.0
F0020,ATL,ATL_G9,26.0,0,0,19,6,544.65,89.63,2.05,98.8,467.14000000000004,17.333333333333332,23.7,83.7,147.6,E,0.0,3,1966.25,12.0,3.0,300.0
F0021,DFW,DFW_G9,49.0,1,0,17,4,581.2866666666667,86.81,3.2800000000000002,100.37333333333333,344.62,-0.620000000000001,21.9,58.275000000000006,78.2,W,0.16666666666666666,6,2393.12,10.0,4.0,120.0
F0022,LAX,LAX_G10,16.0,0,0,18,1,639.09,51.95666666666667,2.5933333333333333,108.11,305.5,0.5666666666666668,19.4,82.17999999999999,113.7,SW,0.5,6,0.0,0.0,0.0,180.0
F0023,ATL,ATL_G9,12.0,0,1,9,1,652.1949999999999,32.215,3.745,102.13,520.7,-2.566666666666667,11.6,105.2,148.9,SW,0.5,6,0.0,0.0,0.0,180.0
F0024,ATL,ATL_G8,51.0,1,0,0,1,576.68,,1.02,94.59666666666668,424.60999999999996,12.233333333333333,23.2,100.96666666666665,140.1,E,0.16666666666666666,6,683.03,1.0,1.0,240.0
F0025,DFW,DFW_G9,29.0,0,0,22,5,555.41,87.62333333333333,0.35,96.56333333333333,487.31000000000006,9.4,23.1,112.86666666666667,140.0,E,0.5,4,651.86,3.0,1.0,300.0
F0026,DFW,DFW_G7,43.0,1,0,3,6,639.0633333333334,88.41999999999999,3.4,93.46,478.35,-1.25,9.5,83.7,133.8,N,0.2,5,402.45000000000005,6.0,2.0,240.0
