year,month,total_flights,total_profit,total_passengers_number,average_passengers_number_on_flight,average_ticket_price,average_delay,minimal_delay,maximal_delay,most_popular_origin,most_popular_destination,most_popular_order_method
2024,12,3200,3582435.62,55007,17.19,404.71,39.86,1.23,232.34,EVF,TRW,Agent
2025,4,572,6937952.77,110529,193.23,642.08,23.28,4.51,79.48,DTA,JAV,Kiosk
2024,9,4750,5367654.6,257710,54.25,244.81,57.06,1.01,131.29,XDA,VDQ,Kiosk
2024,11,4829,7705128.22,91211,18.89,233.49,26.93,1.32,235.0,WCB,GTH,Agent
2025,11,4372,8334643.51,151064,34.55,324.2,16.01,4.57,297.79,FEV,BAH,Online
2024,7,2980,2160083.78,52240,17.53,720.04,11.03,1.42,276.27,GGB,LNT,Online
2024,2,2012,4490422.96,166601,82.8,960.77,28.11,4.06,155.08,QOU,WSB,Agent
2025,2,3864,7446529.0,272887,70.62,466.88,52.17,3.54,90.28,QTC,EYM,Kiosk
2024,11,2253,1000807.97,294070,130.52,912.13,52.72,4.74,252.62,YNG,HPT,Online
2024,12,912,7830725.53,256296,281.03,263.46,16.37,2.2,286.62,ZPZ,LUO,Kiosk
2025,5,2872,1921150.66,160087,55.74,330.95,10.81,3.1,90.4,URX,BVX,Online
2024,8,1835,7376269.89,160201,87.3,403.89,40.1,1.85,233.08,SSF,ODG,Kiosk
2024,6,3029,5586775.67,284692,93.99,541.71,24.24,4.27,133.67,COC,CVW,Online
2024,6,4112,7967595.4,295762,71.93,349.15,50.02,3.87,88.36,JPE,FOM,Online
2025,1,2272,2600493.89,224800,98.94,738.31,21.5,3.53,291.71,BME,JKG,Online
2024,9,3229,7726352.6,231287,71.63,547.38,5.34,4.1,156.3,FWG,OZO,Kiosk
2024,1,763,8282076.49,225528,295.58,907.25,15.6,1.58,142.31,FJQ,JMX,Kiosk
2024,6,809,3386219.35,267264,330.36,804.34,7.75,3.84,230.41,BVT,TUE,Online
2024,4,2311,5507184.58,237734,102.87,725.29,34.93,2.38,89.13,IWB,XHW,Agent
2025,11,3759,2277495.73,123391,32.83,541.45,49.34,1.09,239.83,BVJ,SBR,Agent
2024,8,2985,1966286.98,236592,79.26,689.14,51.42,4.98,74.89,BCQ,MGD,Agent
2025,7,3240,6857126.51,236856,73.1,238.92,38.18,4.7,70.1,UGV,EQH,Kiosk
2024,7,938,7741922.22,212136,226.16,645.69,41.71,2.88,191.74,XSH,RHW,Agent
2024,6,4661,5206609.63,106464,22.84,973.27,23.47,4.39,266.34,EPB,DER,Kiosk
2024,4,3400,5940410.23,198072,58.26,678.85,46.08,0.31,163.67,XQE,TSM,Online
2025,1,1063,2983283.36,207868,195.55,365.64,30.7,2.14,299.54,SNM,HOO,Online
2025,1,4232,5498342.9,141800,33.51,934.81,54.85,4.81,156.7,RPH,EUX,Kiosk
2024,6,1946,8139916.2,272488,140.02,376.19,21.93,1.05,82.2,YXP,PXE,Agent
2025,11,1176,7552235.22,162003,137.76,880.0,46.42,3.48,150.94,CQH,PRK,Kiosk
2024,2,1336,7575740.17,286151,214.18,721.64,53.42,2.33,110.76,DWO,QBT,Kiosk
2025,6,3947,7071920.7,143539,36.37,624.7,37.25,0.45,81.59,ZCC,CNJ,Kiosk
2025,6,2817,2340376.24,236282,83.88,600.19,7.76,1.32,263.8,WJO,VCS,Kiosk
2025,2,3500,3972063.18,288611,82.46,244.56,28.44,0.82,159.09,YTQ,JVV,Agent
2024,1,3240,5207871.48,203458,62.8,865.88,50.74,3.05,182.03,WRN,KYP,Kiosk
2025,3,2185,1840374.06,281919,129.02,729.92,31.47,4.07,153.65,SVF,AXZ,Agent
2025,11,3506,2438509.47,133251,38.01,477.42,11.12,0.04,165.77,RCP,BJT,Online
2024,3,3614,1575338.46,173479,48.0,282.18,22.6,1.1,195.97,KBA,NIY,Kiosk
2024,11,699,4659249.99,271506,388.42,902.08,22.16,4.26,167.4,UJN,DPA,Agent
2024,5,1174,9164510.87,63180,53.82,402.77,48.81,1.03,279.85,QET,WDB,Kiosk
2025,8,4656,8175731.33,284658,61.14,838.87,25.41,2.82,120.46,FAH,HEG,Kiosk
2025,11,556,3413225.23,237091,426.42,312.4,32.85,1.88,167.74,HYP,NLJ,Online
2025,6,2510,7725226.71,214599,85.5,903.86,44.77,3.67,280.86,PHG,WTD,Online
2024,7,804,2982131.5,224665,279.43,696.87,48.47,3.62,208.85,UZC,EZN,Kiosk
2025,9,963,9498682.95,120814,125.46,877.77,6.06,2.68,253.57,QMP,HRH,Online
2024,2,3021,6364647.62,277394,91.82,372.98,39.03,3.95,203.54,ANS,CED,Agent
2024,1,4017,1995687.51,94147,23.44,757.68,33.51,2.66,198.27,DXQ,RZV,Online
2024,8,552,6575591.14,153578,278.22,885.39,40.21,3.88,159.36,OHY,WHX,Agent
2024,5,3158,6556149.53,80188,25.39,633.7,32.31,3.5,130.12,EPU,VHS,Agent
2025,8,4481,9172195.54,269359,60.11,265.0,19.85,0.06,210.66,JHH,IHI,Kiosk
2025,12,4567,2650953.23,262703,57.52,831.32,7.17,2.69,285.78,IWQ,UKB,Kiosk
