airport,branch,avg_delay,total_flights
ATL,Branch_A,30.804878048780488,41
ATL,Branch_B,31.575757575757574,33
ATL,Branch_C,33.4054054054054,37
ATL,Branch_D,28.4,35
ATL,Branch_E,31.310344827586206,29
DFW,Branch_A,31.514285714285716,35
DFW,Branch_B,31.529411764705884,34
DFW,Branch_C,26.133333333333333,30
DFW,Branch_D,33.32258064516129,31
DFW,Branch_E,33.39393939393939,33
JFK,Branch_A,26.892857142857142,28
JFK,Branch_B,29.37837837837838,37
JFK,Branch_C,28.666666666666668,45
JFK,Branch_D,30.115384615384617,26
JFK,Branch_E,29.333333333333332,30
LAX,Branch_A,29.97826086956522,46
LAX,Branch_B,33.717948717948715,39
LAX,Branch_C,36.303030303030305,33
LAX,Branch_D,28.083333333333332,36
LAX,Branch_E,30.533333333333335,45
ORD,Branch_A,33.54,50
ORD,Branch_B,28.91176470588235,34
ORD,Branch_C,28.38235294117647,34
ORD,Branch_D,33.588235294117645,34
ORD,Branch_E,32.38461538461539,39
