sensor_id,flight_id,sensor_type,sensor_value,event_time
EN6012,F0001,Engine Temperature,630.01,2023-02-07 05:15:41
EN6846,F0001,Engine Temperature,609.43,2023-02-07 05:13:05
FU7756,F0001,Fuel Level,66.33,2023-02-07 05:13:16
FU5403,F0001,Fuel Level,43.41,2023-02-07 04:45:30
FU2698,F0001,Fuel Level,63.38,2023-02-07 05:36:44
VI6959,F0001,Vibration,2.11,2023-02-07 05:20:41
AI4036,F0001,Air Pressure,97.96,2023-02-07 05:23:59
AI2183,F0001,Airspeed,359.62,2023-02-07 05:22:10
AI7781,F0001,Airspeed,390.29,2023-02-07 05:09:52
EN4534,F0002,Engine Temperature,651.82,2023-07-01 07:11:11
FU2233,F0002,Fuel Level,69.28,2023-07-01 06:28:32
VI1938,F0002,Vibration,2.33,2023-07-01 06:49:29
VI8147,F0002,Vibration,4.96,2023-07-01 06:48:28
VI1769,F0002,Vibration,1.17,2023-07-01 06:49:44
AI4367,F0002,Air Pressure,,2023-07-01 06:35:53
AI4715,F0002,Air Pressure,98.44,2023-07-01 06:53:39
AI5990,F0002,Airspeed,421.89,2023-07-01 06:23:25
EN6061,F0004,Engine Temperature,696.31,2023-02-15 15:23:12
FU5068,F0004,Fuel Level,31.03,2023-02-15 16:44:32
VI5218,F0004,Vibration,3.51,2023-02-15 16:52:47
VI5366,F0004,Vibration,,2023-02-15 16:50:03
AI8963,F0004,Air Pressure,104.19,2023-02-15 15:41:04
AI2544,F0004,Air Pressure,103.65,2023-02-15 16:34:46
AI5904,F0004,Airspeed,458.94,2023-02-15 17:00:53
EN3859,F0005,Engine Temperature,562.93,2023-12-01 03:24:48
FU2836,F0005,Fuel Level,62.74,2023-12-01 03:40:31
FU9181,F0005,Fuel Level,61.26,2023-12-01 01:27:19
FU9143,F0005,Fuel Level,94.02,2023-12-01 01:59:58
VI9910,F0005,Vibration,4.1,2023-11-30 23:14:28
VI6812,F0005,Vibration,1.59,2023-12-01 03:13:44
AI5297,F0005,Air Pressure,103.27,2023-11-30 23:43:40
AI1373,F0005,Air Pressure,,2023-12-01 00:33:55
AI9490,F0005,Air Pressure,101.71,2023-12-01 00:21:52
AI5964,F0005,Airspeed,450.76,2023-12-01 00:08:55
AI6206,F0005,Airspeed,512.01,2023-11-30 23:39:16
AI5559,F0005,Airspeed,368.61,2023-12-01 01:15:34
EN6744,F0006,Engine Temperature,634.56,2023-04-09 10:22:57
EN2319,F0006,Engine Temperature,678.04,2023-04-09 09:32:58
FU3425,F0006,Fuel Level,49.4,2023-04-09 08:55:18
VI6900,F0006,Vibration,,2023-04-09 09:51:38
AI3950,F0006,Air Pressure,99.32,2023-04-09 08:54:57
AI5855,F0006,Airspeed,443.97,2023-04-09 08:52:09
EN6054,F0008,Engine Temperature,639.97,2023-09-10 10:08:00
FU6453,F0008,Fuel Level,90.16,2023-09-10 10:17:32
VI8155,F0008,Vibration,2.5,2023-09-10 07:08:03
AI1015,F0008,Air Pressure,101.66,2023-09-10 10:40:17
AI6873,F0008,Air Pressure,92.5,2023-09-10 10:06:03
AI5020,F0008,Air Pressure,95.5,2023-09-10 08:07:38
AI4041,F0008,Airspeed,359.49,2023-09-10 10:04:38
AI6140,F0008,Airspeed,430.65,2023-09-10 06:59:32
AI7081,F0008,Airspeed,378.19,2023-09-10 06:53:16
EN2561,F0010,Engine Temperature,,2023-03-21 19:41:34
EN9480,F0010,Engine Temperature,602.57,2023-03-21 19:36:05
EN8478,F0010,Engine Temperature,543.01,2023-03-21 20:09:34
FU6034,F0010,Fuel Level,72.88,2023-03-21 19:41:03
FU9307,F0010,Fuel Level,83.6,2023-03-21 20:05:59
VI5209,F0010,Vibration,3.23,2023-03-21 20:12:29
VI1612,F0010,Vibration,0.31,2023-03-21 20:10:50
AI3232,F0010,Air Pressure,107.48,2023-03-21 20:14:23
AI3927,F0010,Air Pressure,102.4,2023-03-21 20:10:35
AI2537,F0010,Air Pressure,,2023-03-21 19:33:16
AI2209,F0010,Airspeed,496.09,2023-03-21 19:24:53
EN6019,F0011,Engine Temperature,577.56,2023-01-09 07:36:38
FU4810,F0011,Fuel Level,69.05,2023-01-09 08:06:36
FU8806,F0011,Fuel Level,72.05,2023-01-09 08:02:59
VI8984,F0011,Vibration,0.78,2023-01-09 07:43:38
VI6450,F0011,Vibration,4.65,2023-01-09 08:10:08
VI1926,F0011,Vibration,2.77,2023-01-09 07:53:45
AI4600,F0011,Air Pressure,103.72,2023-01-09 08:15:33
AI8558,F0011,Air Pressure,101.48,2023-01-09 07:27:59
AI6644,F0011,Air Pressure,109.82,2023-01-09 07:46:38
AI8617,F0011,Airspeed,599.05,2023-01-09 07:41:02
AI3426,F0011,Airspeed,373.57,2023-01-09 07:29:52
AI4266,F0011,Airspeed,433.11,2023-01-09 07:56:25
EN3907,F0012,Engine Temperature,523.81,2023-09-22 23:37:00
EN6332,F0012,Engine Temperature,,2023-09-22 23:03:08
FU2095,F0012,Fuel Level,44.6,2023-09-23 01:07:24
FU7696,F0012,Fuel Level,48.82,2023-09-23 00:02:44
VI6078,F0012,Vibration,3.64,2023-09-22 23:00:22
VI9069,F0012,Vibration,1.78,2023-09-23 00:13:55
AI7971,F0012,Air Pressure,,2023-09-23 00:21:45
AI6718,F0012,Air Pressure,95.77,2023-09-23 01:56:15
AI7663,F0012,Air Pressure,103.19,2023-09-23 01:20:40
AI7526,F0012,Airspeed,582.16,2023-09-23 00:32:46
EN6524,F0013,Engine Temperature,599.34,2023-10-12 08:01:55
FU6329,F0013,Fuel Level,61.8,2023-10-12 07:49:01
FU9535,F0013,Fuel Level,55.71,2023-10-12 08:46:44
FU1936,F0013,Fuel Level,94.13,2023-10-12 07:53:40
VI5469,F0013,Vibration,1.44,2023-10-12 07:04:04
VI9885,F0013,Vibration,2.93,2023-10-12 08:04:38
AI8884,F0013,Air Pressure,93.92,2023-10-12 08:27:26
AI9660,F0013,Air Pressure,99.85,2023-10-12 07:57:01
AI9054,F0013,Airspeed,558.65,2023-10-12 07:15:04
EN8125,F0014,Engine Temperature,644.79,2023-09-03 20:16:38
EN6494,F0014,Engine Temperature,582.6,2023-09-03 22:53:10
EN5634,F0014,Engine Temperature,685.65,2023-09-03 23:34:53
FU5834,F0014,Fuel Level,24.63,2023-09-03 20:32:42
VI8922,F0014,Vibration,2.28,2023-09-03 20:13:15
VI5996,F0014,Vibration,0.42,2023-09-03 23:19:53
AI8519,F0014,Air Pressure,93.64,2023-09-03 22:53:01
AI9418,F0014,Air Pressure,109.73,2023-09-04 00:02:27
AI5705,F0014,Air Pressure,92.62,2023-09-03 22:24:05
AI7792,F0014,Airspeed,502.71,2023-09-03 21:38:01
EN1755,F0015,Engine Temperature,581.56,2023-09-09 11:12:05
EN4474,F0015,Engine Temperature,644.78,2023-09-09 11:57:00
FU9396,F0015,Fuel Level,23.32,2023-09-09 11:58:20
FU7607,F0015,Fuel Level,34.82,2023-09-09 11:24:00
VI6615,F0015,Vibration,1.42,2023-09-09 12:08:50
VI9656,F0015,Vibration,2.65,2023-09-09 11:17:19
VI5985,F0015,Vibration,2.39,2023-09-09 11:52:53
AI1334,F0015,Air Pressure,109.1,2023-09-09 11:13:16
AI9548,F0015,Airspeed,472.5,2023-09-09 12:00:38
EN1241,F0016,Engine Temperature,673.72,2023-08-23 04:08:42
EN6394,F0016,Engine Temperature,561.56,2023-08-23 05:14:36
FU4484,F0016,Fuel Level,80.5,2023-08-23 05:40:24
FU2867,F0016,Fuel Level,,2023-08-23 04:28:38
FU2748,F0016,Fuel Level,55.51,2023-08-23 04:21:24
VI1213,F0016,Vibration,0.02,2023-08-23 05:34:00
VI5410,F0016,Vibration,2.93,2023-08-23 04:46:52
VI8552,F0016,Vibration,1.86,2023-08-23 07:03:27
AI7430,F0016,Air Pressure,103.75,2023-08-23 02:40:22
AI9518,F0016,Air Pressure,101.26,2023-08-23 03:43:33
AI4218,F0016,Airspeed,408.51,2023-08-23 05:59:02
AI7848,F0016,Airspeed,462.02,2023-08-23 05:30:21
AI6385,F0016,Airspeed,,2023-08-23 02:47:59
EN7138,F0017,Engine Temperature,640.78,2023-06-28 09:35:10
FU2166,F0017,Fuel Level,73.79,2023-06-28 12:08:38
FU8852,F0017,Fuel Level,32.41,2023-06-28 11:12:02
VI8435,F0017,Vibration,3.78,2023-06-28 10:33:43
VI4229,F0017,Vibration,3.55,2023-06-28 10:32:41
AI8888,F0017,Air Pressure,96.03,2023-06-28 11:29:46
AI8771,F0017,Air Pressure,100.32,2023-06-28 12:43:00
AI5155,F0017,Air Pressure,96.73,2023-06-28 09:10:00
AI6997,F0017,Airspeed,596.09,2023-06-28 11:12:53
AI1878,F0017,Airspeed,487.19,2023-06-28 11:45:28
EN4462,F0018,Engine Temperature,596.53,2023-03-16 15:33:47
FU6837,F0018,Fuel Level,92.33,2023-03-16 16:54:45
VI8205,F0018,Vibration,0.04,2023-03-16 17:16:55
AI8221,F0018,Air Pressure,107.19,2023-03-16 16:31:15
AI3183,F0018,Airspeed,541.89,2023-03-16 15:23:22
AI1877,F0018,Airspeed,548.2,2023-03-16 16:07:25
EN7828,F0019,Engine Temperature,576.72,2023-10-24 03:27:14
EN9144,F0019,Engine Temperature,508.97,2023-10-24 02:51:25
FU3762,F0019,Fuel Level,42.63,2023-10-24 03:21:50
FU8646,F0019,Fuel Level,23.43,2023-10-24 01:38:27
FU6453,F0019,Fuel Level,45.48,2023-10-24 02:26:07
VI3593,F0019,Vibration,0.22,2023-10-24 02:20:52
VI3012,F0019,Vibration,3.25,2023-10-24 00:55:01
VI1180,F0019,Vibration,,2023-10-24 01:01:08
AI6750,F0019,Air Pressure,107.52,2023-10-24 03:25:04
AI9716,F0019,Airspeed,429.45,2023-10-24 03:16:45
AI3991,F0019,Airspeed,319.71,2023-10-24 01:47:32
AI8608,F0019,Airspeed,369.42,2023-10-24 03:42:35
EN3461,F0020,Engine Temperature,516.83,2023-01-02 18:09:26
EN4605,F0020,Engine Temperature,654.7,2023-01-02 16:03:36
FU6621,F0020,Fuel Level,56.54,2023-01-02 18:36:31
FU4908,F0020,Fuel Level,23.26,2023-01-02 19:09:41
FU2386,F0020,Fuel Level,46.0,2023-01-02 19:59:23
VI8354,F0020,Vibration,1.68,2023-01-02 17:07:39
VI8155,F0020,Vibration,4.62,2023-01-02 19:25:29
AI7589,F0020,Air Pressure,101.75,2023-01-02 17:29:20
AI5369,F0020,Airspeed,432.58,2023-01-02 17:53:46
EN6220,F0021,Engine Temperature,501.21,2023-04-14 20:05:03
