booking_id,ticket_id,flight_id,booking_date,passenger_count,booking_channel,fare_class_id,base_price,cancellation_fee,baggage_allowance,effective_date,end_date,current_flag
B000001,W,F0158,2023-11-17,1,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000002,F,F0305,2023-02-06,3,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000003,W,F0319,2023-02-11,3,MobileApp,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000004,F,F0383,2023-06-05,2,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000005,F,F0143,2023-02-26,3,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000006,W,F0349,2023-09-23,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000007,W,F0475,2023-07-15,2,Online,W,254.7,118.43,30,2023-06-28,,Y
B000008,W,F0433,2023-01-27,2,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000009,Y,F0402,2023-06-30,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000010,Y,F0499,2023-02-22,1,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000011,F,F0260,2023-03-05,2,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000012,F,F0491,2023-10-28,1,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000013,F,F0115,2023-08-25,1,TravelAgency,F,224.89,27.25,20,2023-06-28,,Y
B000014,W,F0049,2023-07-02,2,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000015,Y,F0177,2023-02-23,3,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000016,Y,F0066,2022-12-08,2,TravelAgency,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000017,W,F0454,2023-03-11,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000018,F,F0252,2022-11-11,2,TravelAgency,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000019,Y,F0217,2022-12-08,2,MobileApp,Y,512.64,64.13,40,2022-07-01,2022-12-28,N
B000020,W,F0367,2022-12-26,2,TravelAgency,W,292.37,30.94,20,2022-07-01,2022-12-28,N
B000021,W,F0028,2023-11-06,3,Online,W,254.7,118.43,30,2023-06-28,,Y
B000022,F,F0485,2022-12-09,3,MobileApp,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000023,F,F0267,2023-02-05,2,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000024,W,F0002,2023-01-24,2,TravelAgency,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000025,F,F0155,2022-12-03,1,TravelAgency,F,129.67,86.65,20,2022-07-01,2022-12-28,N
B000026,Y,F0159,2023-03-08,1,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000027,Y,F0223,2023-03-27,2,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000028,W,F0115,2023-09-02,1,Online,W,254.7,118.43,30,2023-06-28,,Y
B000029,Y,F0051,2023-11-10,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000030,F,F0420,2023-01-19,1,Online,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000031,Y,F0092,2023-06-12,2,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000032,F,F0391,2023-03-11,1,TravelAgency,F,318.68,67.22,20,2022-12-29,2023-06-27,N
B000033,Y,F0372,2023-09-17,3,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000034,F,F0290,2023-10-05,3,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
B000035,Y,F0089,2023-10-20,3,TravelAgency,Y,582.54,34.44,30,2023-06-28,,Y
B000036,Y,F0442,2023-02-06,2,TravelAgency,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000037,W,F0049,2023-07-17,3,TravelAgency,W,254.7,118.43,30,2023-06-28,,Y
B000038,W,F0498,2023-05-01,1,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000039,W,F0035,2023-06-08,3,Online,W,195.87,106.97,20,2022-12-29,2023-06-27,N
B000040,W,F0369,2023-08-12,3,MobileApp,W,254.7,118.43,30,2023-06-28,,Y
B000041,Y,F0143,2023-03-28,2,MobileApp,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000042,Y,F0478,2023-08-13,1,MobileApp,Y,582.54,34.44,30,2023-06-28,,Y
B000043,Y,F0194,2023-05-27,3,Online,Y,232.4,49.79,30,2022-12-29,2023-06-27,N
B000044,F,F0208,2023-10-30,1,MobileApp,F,224.89,27.25,20,2023-06-28,,Y
