airport_origin,date,total_flights,total_delay,late_flights,pct_late
ATL,2023-01-13,1,56,1,1.0
ATL,2023-01-14,1,74,1,1.0
ATL,2023-01-17,1,89,1,1.0
ATL,2023-01-18,1,68,1,1.0
ATL,2023-01-21,1,37,1,1.0
ATL,2023-01-22,1,119,1,1.0
ATL,2023-01-23,1,63,1,1.0
ATL,2023-01-26,1,89,1,1.0
ATL,2023-01-31,1,6,1,1.0
ATL,2023-02-02,1,103,1,1.0
ATL,2023-02-04,2,139,2,1.0
ATL,2023-02-05,1,48,1,1.0
ATL,2023-02-06,1,104,1,1.0
ATL,2023-02-08,1,99,1,1.0
ATL,2023-02-09,1,52,1,1.0
ATL,2023-02-10,1,39,1,1.0
ATL,2023-02-14,1,30,1,1.0
ATL,2023-02-16,1,11,1,1.0
ATL,2023-02-20,1,45,1,1.0
ATL,2023-02-28,1,53,1,1.0
ATL,2023-03-07,1,4,1,1.0
ATL,2023-03-10,1,87,1,1.0
ATL,2023-03-11,1,119,1,1.0
ATL,2023-03-14,1,69,1,1.0
ATL,2023-03-15,1,40,1,1.0
ATL,2023-03-17,2,94,2,1.0
ATL,2023-03-22,1,113,1,1.0
ATL,2023-03-25,1,98,1,1.0
ATL,2023-03-28,1,21,1,1.0
ATL,2023-03-30,1,47,1,1.0
ATL,2023-03-31,1,45,1,1.0
ATL,2023-04-04,1,105,1,1.0
ATL,2023-04-11,2,91,2,1.0
ATL,2023-04-16,1,53,1,1.0
ATL,2023-04-17,2,34,2,1.0
ATL,2023-04-18,1,33,1,1.0
ATL,2023-04-27,1,14,1,1.0
ATL,2023-04-30,2,125,2,1.0
ATL,2023-05-03,2,102,1,0.5
ATL,2023-05-10,1,85,1,1.0
ATL,2023-05-11,2,174,2,1.0
ATL,2023-05-14,1,31,1,1.0
ATL,2023-05-15,1,117,1,1.0
ATL,2023-05-17,2,138,2,1.0
ATL,2023-05-23,1,92,1,1.0
ATL,2023-05-27,1,19,1,1.0
ATL,2023-05-28,2,52,2,1.0
ATL,2023-05-31,1,36,1,1.0
ATL,2023-06-03,2,103,2,1.0
ATL,2023-06-09,1,30,1,1.0
ATL,2023-06-17,1,72,1,1.0
ATL,2023-06-30,1,20,1,1.0
ATL,2023-07-01,1,107,1,1.0
ATL,2023-07-04,1,1,1,1.0
ATL,2023-07-06,1,25,1,1.0
ATL,2023-07-10,2,107,2,1.0
ATL,2023-07-14,1,117,1,1.0
ATL,2023-07-16,1,27,1,1.0
ATL,2023-07-22,1,112,1,1.0
ATL,2023-07-25,1,2,1,1.0
ATL,2023-08-08,1,79,1,1.0
ATL,2023-08-14,1,14,1,1.0
ATL,2023-08-17,1,31,1,1.0
ATL,2023-08-25,1,55,1,1.0
ATL,2023-09-04,1,12,1,1.0
ATL,2023-09-11,2,164,2,1.0
ATL,2023-09-15,1,7,1,1.0
ATL,2023-09-20,1,75,1,1.0
ATL,2023-09-22,1,108,1,1.0
ATL,2023-09-24,1,71,1,1.0
ATL,2023-10-01,1,52,1,1.0
ATL,2023-10-04,2,115,2,1.0
ATL,2023-10-07,1,46,1,1.0
ATL,2023-10-11,2,95,2,1.0
ATL,2023-10-13,1,18,1,1.0
ATL,2023-10-19,1,64,1,1.0
ATL,2023-10-21,1,2,1,1.0
ATL,2023-10-30,1,53,1,1.0
ATL,2023-10-31,1,89,1,1.0
ATL,2023-11-13,1,57,1,1.0
ATL,2023-11-16,2,136,2,1.0
ATL,2023-11-18,1,80,1,1.0
ATL,2023-11-20,1,61,1,1.0
ATL,2023-11-23,1,92,1,1.0
ATL,2023-11-27,1,4,1,1.0
ATL,2023-12-02,2,12,2,1.0
ATL,2023-12-05,1,48,1,1.0
ATL,2023-12-06,1,83,1,1.0
ATL,2023-12-08,1,73,1,1.0
ATL,2023-12-14,1,1,1,1.0
ATL,2023-12-17,1,38,1,1.0
ATL,2023-12-19,1,91,1,1.0
ATL,2023-12-23,1,0,0,0.0
DFW,2023-01-08,1,64,1,1.0
DFW,2023-01-14,1,85,1,1.0
DFW,2023-01-16,1,28,1,1.0
DFW,2023-01-17,1,83,1,1.0
DFW,2023-01-21,1,4,1,1.0
DFW,2023-02-01,1,74,1,1.0
DFW,2023-02-07,1,22,1,1.0
DFW,2023-02-13,1,87,1,1.0
DFW,2023-02-15,1,98,1,1.0
DFW,2023-02-21,1,16,1,1.0
DFW,2023-02-24,1,42,1,1.0
DFW,2023-03-05,2,104,2,1.0
DFW,2023-03-14,1,24,1,1.0
DFW,2023-03-16,1,102,1,1.0
DFW,2023-03-20,1,14,1,1.0
DFW,2023-03-21,1,44,1,1.0
DFW,2023-04-12,1,57,1,1.0
DFW,2023-04-19,1,6,1,1.0
DFW,2023-04-25,1,10,1,1.0
DFW,2023-04-30,1,6,1,1.0
DFW,2023-05-01,1,30,1,1.0
DFW,2023-05-03,1,17,1,1.0
DFW,2023-05-06,1,10,1,1.0
DFW,2023-05-11,1,90,1,1.0
DFW,2023-05-14,1,83,1,1.0
DFW,2023-05-17,1,111,1,1.0
DFW,2023-05-31,1,89,1,1.0
DFW,2023-06-04,1,4,1,1.0
DFW,2023-06-10,1,58,1,1.0
DFW,2023-06-22,1,36,1,1.0
DFW,2023-06-24,1,5,1,1.0
DFW,2023-06-27,1,107,1,1.0
DFW,2023-06-29,1,103,1,1.0
DFW,2023-07-09,1,70,1,1.0
DFW,2023-07-10,1,30,1,1.0
DFW,2023-07-11,1,72,1,1.0
DFW,2023-07-12,1,105,1,1.0
DFW,2023-07-15,1,101,1,1.0
DFW,2023-07-16,1,10,1,1.0
DFW,2023-07-17,1,97,1,1.0
DFW,2023-07-23,2,156,2,1.0
DFW,2023-07-24,1,65,1,1.0
DFW,2023-07-31,1,61,1,1.0
DFW,2023-08-03,1,99,1,1.0
DFW,2023-08-09,1,39,1,1.0
DFW,2023-08-11,1,116,1,1.0
DFW,2023-08-16,1,34,1,1.0
DFW,2023-08-26,1,49,1,1.0
DFW,2023-08-29,1,53,1,1.0
DFW,2023-08-30,1,1,1,1.0
DFW,2023-09-01,1,64,1,1.0
DFW,2023-09-03,1,12,1,1.0
DFW,2023-09-06,1,36,1,1.0
DFW,2023-09-07,1,43,1,1.0
DFW,2023-09-08,1,45,1,1.0
DFW,2023-09-10,1,93,1,1.0
DFW,2023-09-12,2,113,2,1.0
DFW,2023-09-22,1,119,1,1.0
DFW,2023-09-24,1,37,1,1.0
DFW,2023-09-27,2,105,2,1.0
DFW,2023-09-28,1,35,1,1.0
DFW,2023-10-03,1,21,1,1.0
DFW,2023-10-14,1,53,1,1.0
DFW,2023-10-20,1,19,1,1.0
DFW,2023-10-22,1,112,1,1.0
DFW,2023-10-24,1,93,1,1.0
DFW,2023-10-25,1,91,1,1.0
DFW,2023-10-26,1,59,1,1.0
DFW,2023-10-27,1,58,1,1.0
