airport_origin,airport_destination,latitude_origin,longitude_origin,latitude_destination,longitude_destination,time_of_flight,distance
CHG,VOZ,-73.27085,-77.84438,72.151211,74.555649,12.06,4944.05
GJI,YSX,70.069448,15.723936,81.020176,-174.164386,0.78,414.8
JDP,LMW,-14.718031,-112.279794,-81.515034,-57.581661,10.68,5320.83
AMT,CYX,3.078465,153.381524,52.109908,-147.039328,13.81,5990.32
COQ,KPU,-77.363421,59.588255,-68.606995,-116.314783,1.03,485.22
RMR,VDX,-2.386024,-156.239084,-53.427947,89.709656,11.41,4813.61
ZAW,XKP,36.017321,176.085105,-27.556556,-73.095585,3.63,1645.21
OQH,UPP,24.691568,-77.944816,6.492841,97.297717,7.72,3859.29
QAG,RTR,-83.490703,103.37172,19.443051,-99.71515,4.82,2348.88
NML,BVO,29.556074,-26.626085,-60.962184,148.251963,5.22,2389.75
VTC,DQY,-74.305544,62.799246,55.348774,-139.264228,10.18,4982.3
XCF,FRW,-25.731703,60.008227,-38.152579,15.494351,1.72,728.24
HGX,DIB,-3.8853,12.460427,78.24712,-167.800963,11.27,6147.44
PUH,BCO,-30.021801,159.210313,-73.131454,-114.974397,3.38,1492.07
KVY,RRD,55.690947,-127.175208,14.99049,-179.841303,1.05,423.39
BEA,MVZ,-69.249717,137.329765,87.416548,95.210574,6.46,3502.23
WQW,UVX,7.174172,151.395553,-88.99517,-122.545507,3.96,2047.37
FBU,CEB,1.131069,165.373437,58.591649,-151.781246,11.82,5895.03
EMD,JVG,-40.131331,28.629311,-86.017569,-2.799485,4.78,2122.44
AJB,YDI,0.368952,-28.008123,-73.018258,-22.094811,8.12,3887.1
SHS,KKH,26.764841,-72.681133,-88.346216,-56.388136,8.1,3761.12
CJW,TUG,-31.257041,-11.536895,-78.470139,97.002736,9.97,4627.15
CQO,DSM,-85.745758,-30.133681,-48.824302,-76.999798,8.85,3753.59
QDA,DXX,-38.508822,-2.240946,76.670512,173.300327,2.33,1040.53
GGQ,IZH,2.263544,74.651871,51.363933,101.285299,4.82,2356.55
FTI,DBZ,19.947009,130.075498,-38.485014,-85.702002,3.52,1434.44
XAN,ZDD,-67.952182,-172.3686,-70.943513,1.762796,8.74,3800.81
VIF,JDF,0.555921,-160.487011,51.620845,-114.19983,0.82,444.59
ZVT,SWF,46.719026,-135.353354,65.597121,154.478243,1.16,535.62
YCM,UTQ,-75.017141,51.190205,87.338839,136.739328,13.59,6521.38
CJA,SOP,-19.24456,71.547034,-82.457729,-35.822396,12.03,5792.78
EUA,DQS,61.539512,-168.986432,2.757777,179.057738,5.25,2364.84
DKO,PUI,17.296593,0.177404,-27.530562,16.690084,11.59,4807.91
LTT,NHT,-43.073144,27.513068,72.509272,32.13227,13.06,7140.71
YIP,XUE,-87.407241,-121.902365,-22.942081,21.205181,13.23,5857.35
HMT,UHY,21.919413,84.674934,-77.238151,-130.06637,14.81,7000.43
ONC,SDS,71.095701,-119.485741,28.412158,95.861993,9.77,4150.59
XSO,YMX,-46.240873,-90.122209,3.973992,163.31943,3.39,1449.92
JAS,GIH,-14.028824,164.241414,-45.75602,32.27414,11.0,5177.43
MVH,ZUL,-28.107901,-6.870812,63.465945,-58.093058,3.6,1933.51
JNI,ESB,81.327148,81.160894,-82.532942,108.580788,14.61,6316.72
TAM,VZL,-85.211252,-10.540071,-23.063143,-60.329221,5.96,3043.03
RTU,FBY,27.526287,157.964296,-84.781569,66.384237,0.99,485.75
JME,WHU,37.125277,-114.253514,87.672637,-163.588033,7.69,3791.49
RUF,IYJ,-64.829571,-8.703416,74.407992,-12.913128,5.83,3131.0
ONA,KOD,-53.036586,-60.426054,29.419733,14.925279,2.06,1010.94
ENC,UTF,64.996298,18.3845,-42.328742,25.772281,5.67,3004.48
KXY,XKO,82.180296,178.016039,29.619702,160.439161,4.73,2190.06
PII,NCK,85.319145,-148.903643,38.494025,5.704754,4.6,2104.23
XWC,FJV,-77.374956,-90.939042,28.1049,84.755647,3.54,1943.08
YKQ,FCE,-83.981701,-8.294607,-80.125976,13.517929,4.61,2504.37
UXH,OWU,-52.664617,149.458738,-67.910333,36.911351,4.58,2011.09
SQX,LME,-12.995323,-21.239845,-63.330794,-89.875339,8.26,4068.29
POA,XXO,-11.062389,136.92573,56.141679,174.430667,2.15,861.07
QEV,EEU,37.587308,124.427134,-88.857363,60.632813,6.6,2964.23
XYK,RJL,-58.827625,-150.379378,66.618123,125.006281,1.03,438.61
NHE,BOD,-63.805371,-65.333025,-13.765986,22.630454,11.55,4951.74
FGK,XME,-77.591654,-99.514402,6.024071,97.326788,7.37,2998.01
HBG,LFS,-41.79073,-57.357131,49.997425,120.133575,6.22,2931.07
TLC,RLO,74.139332,-63.268411,-70.861066,-160.723489,9.61,4082.13
GKB,MKC,-15.196473,-56.697196,76.622213,-102.808468,12.07,5986.21
EVC,ZVT,42.186676,146.428966,49.629785,95.250936,13.89,6277.23
WCT,OXY,6.676636,-12.233485,64.249293,113.988068,0.77,413.21
BIH,WPW,7.784351,112.315199,-24.241178,130.165691,7.84,4198.05
FMO,QJL,-54.55308,-161.860602,81.071388,-44.852418,12.1,6419.39
LXN,CJW,-32.107562,-104.694279,-3.342074,-130.082498,12.75,6425.9
AFW,LFC,54.615863,123.67723,-50.149094,29.558086,2.0,1085.11
QNQ,FTW,50.693244,134.585001,66.345461,71.389544,4.72,2432.22
PBW,LPU,-6.09686,71.499705,-25.261072,-51.615413,2.36,1182.88
XLT,ODZ,28.506671,-66.867034,52.091161,-132.559094,13.77,6818.28
FTL,JUA,-15.528822,81.598715,78.235981,12.654771,14.11,5910.9
JOF,UHK,-7.301354,-98.651313,14.329375,45.76396,2.11,1016.1
VWV,DZR,-67.908317,-151.116161,-87.81034,-5.630451,2.07,1104.39
PIC,RPG,15.785878,-119.926909,-37.918371,-177.777877,7.59,3769.72
GVW,MTG,-23.946026,168.566383,28.77891,126.835214,9.63,5269.53
UVN,DGR,-18.457343,-106.520133,-9.135727,-9.812503,11.08,5477.79
WAI,KIX,-26.784451,-124.082785,84.648565,88.484789,5.42,2856.51
AXP,WON,-77.280428,-151.006036,-47.766492,-154.366088,8.72,3675.87
TFP,PIZ,88.730877,34.794973,-56.124162,160.515175,11.79,5723.34
WZQ,BCB,-9.197983,128.079589,6.102303,-26.25574,11.21,4695.37
ZXT,QQV,-12.187779,-81.957491,40.944147,-151.917082,1.25,596.06
NVA,VGS,-54.152754,-15.917241,39.374348,-124.399623,6.73,3638.87
UBH,MFI,-6.85879,154.239127,58.098585,-95.099504,3.46,1641.7
LVX,JJJ,12.02972,153.610646,-49.610124,-110.849422,1.6,700.39
WWP,CSF,-57.663459,-165.274532,-9.430395,-106.198754,1.27,663.72
VJR,IIN,-18.836709,-27.833065,-71.749664,83.50143,2.22,965.32
LYX,SOO,-0.170049,159.615647,43.654974,100.237709,9.17,4486.94
GNT,WQR,85.603892,-3.164249,-32.071484,-0.493254,6.2,3049.45
FZJ,JWQ,-22.855231,-116.317149,-76.117338,129.614257,4.42,2430.33
LLZ,XGN,-61.825281,162.175632,-36.982541,-83.817551,3.93,2060.36
NIJ,EDX,-43.623791,160.781407,44.542795,-68.919439,14.83,6908.24
