price_id,airport_origin,airport_destination,first_class_price,business_class_price,economy_class_price,first_class_luggage,business_class_luggage,economy_class_luggage,start_date,end_date,actual
c5868f4f-1cd6-4332-a398-92849833facd,GPV,UTQ,3549.04,1069.89,862.16,82.66,49.63,35.18,2024-07-02,2024-11-28,True
de4ddd65-e35d-4aeb-854c-a12549d87c7d,IYO,SKE,3732.21,1340.5,651.77,94.01,44.96,40.83,2025-02-18,2025-07-23,True
aac3be99-b863-4899-bbb9-bdb2669fa0f3,YLX,ITJ,3922.49,1131.63,607.26,56.78,51.21,27.47,2025-04-30,2025-08-19,True
3cf20abe-a5bd-4d08-969b-e55b21ee25e6,FAF,IFB,3170.13,1684.16,936.69,79.48,45.6,48.88,2024-11-12,2025-05-10,False
2c2a617b-747f-401c-8777-17d1d5ac982f,AOE,JWH,4978.4,1145.73,815.96,50.19,68.85,37.65,2025-01-12,2025-05-24,True
ad39106a-80b2-4cce-a403-4cd419bb2fc4,CLF,CNV,4202.94,1620.16,419.69,88.04,62.01,31.85,2025-02-25,2025-06-30,True
6a6ee15d-665a-4bb3-a370-c8bdba916170,ITV,ZBQ,4746.07,1154.63,657.89,72.86,62.38,39.47,2025-03-01,2025-05-31,True
467a1693-0234-49f6-bd94-734c0324e938,JBD,MNQ,2941.17,1425.39,824.72,76.44,57.55,44.67,2024-07-23,2025-01-09,True
9e9ef416-536a-4b80-9035-a6052e96543c,DAH,OOG,2181.56,1711.69,737.34,89.22,58.83,42.31,2025-02-15,2025-05-24,False
669e31b5-ad0c-49f9-ac79-c0e317106a15,PHS,NWI,3825.74,1029.76,811.13,90.42,78.83,45.82,2025-05-14,2025-07-19,True
fce411ea-ebea-45f2-be00-fdb47c2ee370,VGF,NOH,2274.6,1856.53,768.56,68.74,67.78,35.5,2024-07-12,2024-12-19,True
d2f3e2cf-0bf0-4fc7-b36c-3255e69b7232,XFY,OBV,2770.17,1300.08,261.08,87.17,75.97,30.64,2024-10-16,2025-03-25,False
57f91d31-6686-4c40-a41a-1be96da5c197,VGP,YVD,3237.23,1351.05,446.03,88.59,48.75,37.13,2024-09-18,2024-11-07,False
ad17c637-9678-4c3a-88e4-8f2371c6c4cc,JHP,YXS,2731.06,1633.48,739.57,91.89,71.74,46.48,2024-08-02,2024-09-17,True
040c97fa-eb7a-4f89-af3c-8a78c44b8a5b,OYE,GUA,2191.31,1210.35,705.34,75.01,41.29,20.42,2025-03-16,2025-07-03,True
5fd4c61f-e79c-4c3f-a8b2-5fb5abb1b6c2,OHF,NMW,2275.34,1461.94,568.56,64.79,42.4,37.15,2024-09-26,2025-03-14,False
cd9d7c02-e259-4e4b-bce3-7a6fa1b5a9a2,TFT,VOT,3040.04,1602.44,669.12,63.75,77.78,26.73,2025-01-11,2025-06-12,True
1e619f4a-6a5a-4f9b-b1b0-e50e3008098f,URG,HSK,4877.44,1090.67,867.96,83.25,42.58,34.03,2024-06-02,2024-09-23,False
828cf110-f8e7-4cf2-80f3-b023d83beb37,LSI,LBD,4213.61,1491.41,359.67,92.1,43.48,48.03,2024-07-31,2024-12-22,False
02ad7d23-12dc-4e51-862d-e18112aeb5d1,VJH,XFC,2147.64,1139.02,238.98,61.01,47.56,20.14,2024-09-28,2024-12-08,True
f32b98ec-db27-4c28-8ecf-1add50aa129f,BGI,SBJ,3601.28,1937.54,759.18,69.11,66.99,39.68,2025-05-14,2025-08-07,True
6b1509b6-ede3-4424-9ef1-04f11e4bb6b0,LBH,KVQ,3060.85,1560.57,334.99,73.11,72.91,30.48,2025-01-24,2025-05-08,False
2fec8461-161c-45c4-9e1f-95bb3c1c7c39,HYH,WUY,4726.36,1817.85,611.59,94.95,40.0,20.28,2025-03-01,2025-08-07,True
404835fc-b763-4d8d-8dda-fb5f442d9707,CWQ,JTG,2630.18,1855.36,935.32,97.71,56.14,34.47,2025-05-30,2025-09-30,True
e943cbb1-2d1f-4a0b-854b-69b996b62246,BWC,ECP,4016.72,1315.3,934.99,78.48,59.64,25.27,2025-01-01,2025-03-17,False
c807c28b-ae3b-496d-b918-c2ae2790eac0,SBH,YRZ,4628.53,1807.14,615.78,60.28,63.7,44.83,2024-10-27,2025-04-23,True
8b45f918-2488-4870-a432-38daa1238bb9,KZP,BBR,2644.87,1093.9,814.13,56.32,63.4,46.42,2025-05-30,2025-08-23,False
a2e60c33-a17f-4d52-b4f0-6216712f32e2,NLT,FJS,3657.98,1908.73,355.08,72.55,45.75,35.4,2025-05-08,2025-08-07,True
613624bd-4aa6-4285-ba89-9d2df98b5559,GRX,GTU,2309.83,1667.2,819.97,60.7,77.15,44.02,2024-08-19,2024-11-28,False
42156184-eebb-4efa-99d8-4dbe3895b685,JAA,VTO,3225.32,1965.99,497.19,67.06,55.31,33.99,2025-01-30,2025-06-08,True
0b7be427-e1ba-45e0-8cae-fc4743e4d1e4,VJL,EYO,4874.59,1464.92,579.64,52.54,69.35,39.48,2024-10-31,2025-01-23,True
f03c61d9-0e65-446a-b53b-430bd5f39e1a,GYN,OPP,2834.56,1846.04,361.27,88.86,42.04,42.29,2025-04-29,2025-06-17,True
1f6318e0-44b3-4983-8e7a-aa6a966296e5,HEX,JZM,3975.55,1152.97,520.53,66.63,54.02,37.27,2024-07-29,2025-01-23,True
c9f99add-863e-4647-8a0e-8e58b5418fc5,NNS,FNH,3019.9,1798.85,983.72,72.96,44.67,41.21,2025-02-24,2025-08-23,True
00669829-b4bb-4467-a306-381c4401fa94,GGW,GKH,4309.74,1375.56,608.43,68.2,46.63,37.21,2024-07-29,2024-09-01,False
6b9b8d1a-5acd-4084-9c5d-a59d7a00eb1f,KPW,MKG,3009.54,1614.3,966.04,81.04,62.49,25.9,2024-12-04,2025-04-17,True
6e6ff6e7-3638-4aad-999d-06c0f5ac3441,UVH,KMC,3412.98,1332.38,511.94,84.08,57.76,30.72,2024-11-17,2025-02-06,False
ab242d66-6270-4239-93af-1d1116db7074,GRJ,YPE,3625.65,1264.04,549.26,56.77,70.38,40.3,2024-07-07,2024-11-08,True
475e43d4-5f58-442b-af73-f252312c3838,WUX,WSV,3434.02,1730.29,498.73,98.46,63.16,44.03,2024-07-15,2024-10-07,True
4e6c6057-727e-40a5-a0b1-6cb095cca61a,FEO,NMA,3913.18,1684.46,509.21,52.72,78.13,28.32,2024-08-17,2024-11-18,False
2272de51-6dd5-41c0-a138-3c0b2def1b44,ANM,WRV,4061.48,1662.18,765.36,96.44,64.88,23.18,2025-05-23,2025-11-04,False
98a98449-d82b-498a-9986-13945b62a382,YZM,ZFC,2315.15,1683.76,915.59,97.21,74.84,28.66,2024-10-16,2024-12-30,True
a58b3bc9-7f98-43ad-8f2a-e162c69f65de,VXZ,OTU,2399.22,1514.25,736.15,71.18,67.03,29.12,2024-08-31,2024-11-17,False
5d7a6309-4e15-4c75-a591-2c78deb5e896,CTV,FMO,4341.79,1531.72,362.26,94.49,71.37,43.54,2024-12-15,2025-02-10,True
d4de8bd2-f38b-4edc-9c19-c8ab1def0249,PVR,WUZ,4263.06,1463.06,317.08,66.02,50.57,28.63,2024-06-18,2024-08-17,False
309ba232-231b-474c-abe7-bf7b9f292c6b,RZX,LIW,2917.82,1787.77,777.45,51.53,66.04,23.2,2025-05-13,2025-10-14,False
