flight_id,departure_time,arrival_time,delay_minutes,airport,branch,flight_date,city,state,temperature,weather_condition,Air Pressure,Airspeed,Engine Temperature,Fuel Level,Vibration,avg_temperature_flight,max_temperature_flight,avg_wind_speed_flight,max_wind_speed_flight,pct_rain_events,num_weather_points
F0001,2023-11-26 00:10:27,2023-11-26 02:10:27,3.0,ATL,Branch_C,2023-11-26,Chicago,IL,26.2,Rain,100.57,464.68333333333334,586.0933333333334,34.93,1.575,10.183333333333335,27.2,89.44,126.5,0.16666666666666666,6
F0002,2023-01-17 14:28:04,2023-01-17 19:28:04,19.0,JFK,Branch_C,2023-01-17,Chicago,IL,5.3,Rain,98.095,,612.1533333333333,45.864999999999995,1.7566666666666666,0.5199999999999998,20.9,107.2,128.6,0.0,5
F0003,2023-01-18 04:04:35,2023-01-18 08:04:35,8.0,ATL,Branch_C,2023-01-18,Chicago,IL,14.3,Cloudy,103.94,403.855,645.84,39.66,1.31,9.36,26.5,86.03333333333335,131.0,0.16666666666666666,6
F0004,2023-06-15 08:00:10,2023-06-15 13:00:10,58.0,ORD,Branch_D,2023-06-15,Atlanta,GA,6.2,Sunny,97.41,420.885,651.42,26.81,1.6466666666666667,16.400000000000002,27.2,18.133333333333336,39.6,0.0,4
F0005,2023-03-08 07:02:29,2023-03-08 10:02:29,7.0,ATL,Branch_B,2023-03-08,Los Angeles,CA,14.9,Cloudy,100.525,540.34,661.49,84.49333333333334,2.435,11.2,11.2,66.89999999999999,93.3,0.6666666666666666,3
F0006,2023-08-13 16:46:22,2023-08-13 18:46:22,7.0,JFK,Branch_E,2023-08-13,Dallas,TX,13.1,Cloudy,98.07,377.3766666666667,565.1,58.47666666666667,3.69,-7.875,-1.5,75.35,144.0,0.0,4
F0007,2023-09-29 03:50:11,2023-09-29 06:50:11,45.0,LAX,Branch_C,2023-09-29,Chicago,IL,,Clear,90.17,412.54,512.42,62.214999999999996,1.89,-8.379999999999999,5.0,95.41999999999999,143.7,0.0,5
F0008,2023-05-07 00:55:55,2023-05-07 05:55:55,28.0,DFW,Branch_B,2023-05-07,Los Angeles,CA,6.0,Clear,94.08666666666666,398.25,640.32,92.49,2.1766666666666663,-7.066666666666667,14.9,75.5,124.8,0.0,4
F0009,2023-06-27 03:57:20,2023-06-27 04:57:20,40.0,ATL,Branch_A,2023-06-27,New York,NY,6.3,Sunny,94.68,419.19,562.96,79.30666666666667,3.42,3.0749999999999997,25.0,31.675,47.9,0.0,4
F0010,2023-11-08 16:30:32,2023-11-08 19:30:32,12.0,LAX,Branch_E,2023-11-08,Dallas,TX,6.5,Sunny,96.88,491.5733333333333,532.7633333333333,48.335,3.4800000000000004,-13.266666666666666,-9.0,96.33333333333333,146.8,0.3333333333333333,3
F0012,2023-03-15 17:58:19,2023-03-15 20:58:19,25.0,LAX,Branch_E,2023-03-15,Dallas,TX,21.5,Cloudy,109.12,478.41333333333336,587.5,90.82,1.5150000000000001,-0.26666666666666633,26.3,73.96666666666667,150.0,0.16666666666666666,6
F0013,2023-05-26 01:56:57,2023-05-26 04:56:57,9.0,DFW,Branch_C,2023-05-26,Chicago,IL,9.2,Storm,94.72,545.13,637.925,90.07,1.76,-2.4,15.9,80.5,124.0,0.25,4
F0015,2023-01-14 11:16:11,2023-01-14 13:16:11,51.0,ATL,Branch_E,2023-01-14,Dallas,TX,20.7,Clear,97.87,333.35,532.93,82.68,4.06,-3.275,11.9,83.325,147.5,0.0,4
F0018,2023-12-10 13:26:58,2023-12-10 18:26:58,56.0,DFW,Branch_A,2023-12-10,New York,NY,20.0,Clear,100.32,360.17499999999995,603.635,85.88,4.1866666666666665,12.775,26.5,98.45,123.5,0.25,4
F0020,2023-12-01 11:19:18,2023-12-01 16:19:18,6.0,LAX,Branch_D,2023-12-01,Atlanta,GA,15.7,Storm,97.64,531.6633333333333,646.28,59.126666666666665,3.515,-10.25,-1.6,38.6,84.3,0.25,4
