flight_id,event_time,latitude,longitude,altitude,temperature,wind_speed,weather_condition
F0001,2023-11-26 01:05:03,29.7692,-105.908,20981.8,-9.5,126.5,Cloudy
F0001,2023-11-26 01:14:12,53.2929,-117.274,24407.41,22.3,,Clear
F0001,2023-11-26 01:47:10,46.7346,-92.2208,28194.96,-17.4,82.6,Storm
F0001,2023-11-26 01:52:26,56.5751,-95.075,4080.12,12.4,102.2,Storm
F0001,2023-11-26 01:41:39,53.6365,-70.8403,25020.55,26.1,25.4,Cloudy
F0001,2023-11-26 00:27:42,28.4608,-84.8081,24750.94,27.2,110.5,Rain
F0002,2023-01-17 17:52:18,47.9323,-118.1559,15481.8,-3.7,121.0,Storm
F0002,2023-01-17 19:27:40,42.3654,-121.6323,22190.29,20.9,70.8,Clear
F0002,2023-01-17 17:57:15,53.9744,-74.8231,39612.33,-15.3,94.1,Storm
F0002,2023-01-17 18:25:16,26.5349,-114.6493,20118.13,8.0,128.6,Sunny
F0002,2023-01-17 18:59:20,50.5101,-121.9181,29997.77,-7.3,121.5,Storm
F0003,2023-01-18 06:35:03,43.7188,-60.673,30447.13,2.3,25.1,Cloudy
F0003,2023-01-18 06:27:09,39.9479,-106.1645,10497.13,3.7,103.1,Sunny
F0003,2023-01-18 05:45:43,37.037,-129.6396,23473.97,-1.6,68.7,Storm
F0003,2023-01-18 07:25:49,55.3203,-94.3763,21849.41,,97.6,Rain
F0003,2023-01-18 05:57:29,42.9397,-106.238,5723.7,26.5,131.0,Storm
F0003,2023-01-18 05:50:12,36.1855,-77.0731,7460.76,15.9,90.7,Clear
F0004,2023-06-15 12:12:52,31.4043,-97.3533,23746.35,,39.6,Cloudy
F0004,2023-06-15 09:43:36,35.9543,-73.9236,26373.27,15.6,12.3,Sunny
F0004,2023-06-15 08:20:23,52.876,-93.7951,19855.14,6.4,2.5,Sunny
F0004,2023-06-15 12:32:12,52.7271,-104.0921,27045.27,27.2,,Storm
F0005,2023-03-08 08:34:05,48.1008,-86.053,18155.2,,26.1,Storm
F0005,2023-03-08 08:22:03,21.2973,-96.5162,31795.59,,81.3,Rain
F0005,2023-03-08 09:55:37,30.2574,-104.0143,23592.47,11.2,93.3,Rain
F0006,2023-08-13 18:45:42,48.3293,-72.8568,15428.98,-1.5,41.1,Clear
F0006,2023-08-13 17:52:31,48.4004,-126.6585,15743.38,-10.1,30.7,Clear
F0006,2023-08-13 16:50:38,32.2869,-118.1742,27894.25,-10.6,144.0,Clear
F0006,2023-08-13 18:01:45,48.6804,-99.3268,36803.26,-9.3,85.6,Clear
F0007,2023-09-29 06:34:02,37.3065,-79.3062,31431.46,-13.3,136.7,Clear
F0007,2023-09-29 05:43:44,43.3367,-72.9227,24256.78,-6.8,112.9,Sunny
F0007,2023-09-29 05:25:36,39.2726,-91.5678,18505.37,5.0,143.7,Clear
F0007,2023-09-29 04:35:42,54.3716,-110.4205,12886.48,-18.7,20.3,Storm
F0007,2023-09-29 04:16:58,36.6866,-75.0691,34988.29,-8.1,63.5,Sunny
F0008,2023-05-07 02:31:22,46.835,-109.6469,18601.75,-19.1,,Clear
F0008,2023-05-07 01:38:25,24.8155,-84.9524,14501.4,-17.0,2.6,Sunny
F0008,2023-05-07 01:58:40,25.7878,-115.1382,12160.17,,124.8,Clear
F0008,2023-05-07 01:03:36,59.932,-81.9963,19849.6,14.9,99.1,Storm
F0009,2023-06-27 04:04:57,46.9669,-68.4964,34876.83,25.0,47.9,Cloudy
F0009,2023-06-27 04:45:02,58.114,-77.3905,27012.4,11.1,34.5,Storm
